FAIL  case=Case6_bump  wl_index=0  wl=0  耗时=01:00:02  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=8  wl=0.00326530612245  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=10  wl=0.00408163265306  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=2  wl=0.000816326530612  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=3  wl=0.00122448979592  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=6  wl=0.00244897959184  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=5  wl=0.00204081632653  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=1  wl=0.000408163265306  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=7  wl=0.00285714285714  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=4  wl=0.00163265306122  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=9  wl=0.00367346938776  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=11  wl=0.00448979591837  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=14  wl=0.00571428571429  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=21  wl=0.00857142857143  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=15  wl=0.00612244897959  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=19  wl=0.00775510204082  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=12  wl=0.00489795918367  耗时=01:00:03  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=17  wl=0.0069387755102  耗时=01:00:02  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=13  wl=0.00530612244898  耗时=01:00:02  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=22  wl=0.00897959183673  耗时=01:00:02  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=23  wl=0.00938775510204  耗时=01:00:02  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=18  wl=0.00734693877551  耗时=01:00:02  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=20  wl=0.00816326530612  耗时=01:00:02  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=16  wl=0.0065306122449  耗时=01:00:02  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=24  wl=0.00979591836735  耗时=01:00:02  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=27  wl=0.0110204081633  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=26  wl=0.010612244898  耗时=01:00:02  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=25  wl=0.0102040816327  耗时=01:00:02  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=29  wl=0.0118367346939  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=31  wl=0.0126530612245  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=32  wl=0.0130612244898  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=28  wl=0.0114285714286  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=34  wl=0.0138775510204  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=33  wl=0.0134693877551  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=35  wl=0.0142857142857  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
FAIL  case=Case6_bump  wl_index=30  wl=0.0122448979592  耗时=01:00:01  rc=124  原因=超时(3600s 上限, rc=124)
