[2026-09-18 12:31:37] 开始等机器空 (阈值 load1<8, 无 reproduce.py/train.py), 最多 86400s
[2026-09-18 12:31:37] 还在忙 (load1=56.40, busy=8), 5 分钟后再看
[2026-09-18 12:36:47] 还在忙 (load1=61.54, busy=8), 5 分钟后再看
[2026-09-18 12:41:57] 还在忙 (load1=55.16, busy=8), 5 分钟后再看
[2026-09-18 12:47:07] 还在忙 (load1=54.72, busy=8), 5 分钟后再看
[2026-09-18 12:52:16] 还在忙 (load1=119.30, busy=8), 5 分钟后再看
[2026-09-18 12:57:27] 还在忙 (load1=62.90, busy=8), 5 分钟后再看
[2026-09-18 13:02:37] 还在忙 (load1=71.95, busy=8), 5 分钟后再看
[2026-09-18 13:07:48] 还在忙 (load1=64.26, busy=8), 5 分钟后再看
[2026-09-18 13:12:57] 还在忙 (load1=63.30, busy=8), 5 分钟后再看
[2026-09-18 13:18:08] 还在忙 (load1=63.04, busy=8), 5 分钟后再看
[2026-09-18 13:23:17] 还在忙 (load1=63.01, busy=8), 5 分钟后再看
[2026-09-18 13:28:27] 还在忙 (load1=61.56, busy=8), 5 分钟后再看
[2026-09-18 13:33:36] 还在忙 (load1=66.13, busy=8), 5 分钟后再看
[2026-09-18 13:38:47] 还在忙 (load1=64.33, busy=8), 5 分钟后再看
[2026-09-18 13:43:57] 还在忙 (load1=95.20, busy=8), 5 分钟后再看
[2026-09-18 13:49:07] 还在忙 (load1=114.34, busy=8), 5 分钟后再看
[2026-09-18 13:54:17] 还在忙 (load1=64.29, busy=8), 5 分钟后再看
[2026-09-18 13:59:28] 还在忙 (load1=62.83, busy=8), 5 分钟后再看
[2026-09-18 14:04:39] 还在忙 (load1=59.62, busy=8), 5 分钟后再看
[2026-09-18 14:09:49] 还在忙 (load1=65.86, busy=8), 5 分钟后再看
[2026-09-18 14:15:00] 还在忙 (load1=53.60, busy=8), 5 分钟后再看
[2026-09-18 14:20:11] 还在忙 (load1=46.79, busy=8), 5 分钟后再看
[2026-09-18 14:25:21] 还在忙 (load1=66.42, busy=8), 5 分钟后再看
[2026-09-18 14:30:31] 还在忙 (load1=44.59, busy=8), 5 分钟后再看
[2026-09-18 14:35:42] 还在忙 (load1=99.24, busy=8), 5 分钟后再看
[2026-09-18 14:40:55] 还在忙 (load1=102.68, busy=8), 5 分钟后再看
[2026-09-18 14:46:06] 还在忙 (load1=67.72, busy=8), 5 分钟后再看
[2026-09-18 14:51:17] 还在忙 (load1=55.59, busy=8), 5 分钟后再看
[2026-09-18 14:56:29] 还在忙 (load1=49.94, busy=8), 5 分钟后再看
[2026-09-18 15:01:40] 还在忙 (load1=49.01, busy=8), 5 分钟后再看
[2026-09-18 15:06:51] 还在忙 (load1=54.60, busy=8), 5 分钟后再看
[2026-09-18 15:12:02] 还在忙 (load1=49.42, busy=8), 5 分钟后再看
[2026-09-18 15:17:15] 还在忙 (load1=71.88, busy=8), 5 分钟后再看
[2026-09-18 15:22:27] 还在忙 (load1=103.45, busy=6), 5 分钟后再看
[2026-09-18 15:27:38] 还在忙 (load1=182.11, busy=6), 5 分钟后再看
[2026-09-18 15:32:49] 还在忙 (load1=88.11, busy=2), 5 分钟后再看
