case,seed,config,objective,profile,status,n,obj_model,obj_eval_total_wl,greedy_total_wl,bbox_wh_mm,bbox_area_mm2,aspect_absdiff_mm,canvas_overflow_mm,wall_s,canvas_mm,best_stage,n_bin,n_constrs,error
Case7,1,wl,wl,full,OK,28,0.38093079609215513,20618.614999999994,58117.455,52.6075,691.0154,1.8675,0.0,3327.36,27.54967150439366,iter2/TIME_LIMIT,1592,3284,
acend910,1,wl,wl,full,OK,6,0.6902187433830866,13789.239999999996,24156.845,80.77,1627.762,3.57,0.0,26.03,44.92333691969019,iter2/OPTIMAL,78,293,
cpu-dram,1,wl,wl,full,OK,8,0.5801922342558739,64984.759999999995,122044.32499999998,62.25,951.6674,8.27,0.0,27.82,35.994444015708865,iter2/OPTIMAL,132,478,
hp11_m,1,wl,wl,full,OK,11,0.6194201383327121,78518.753248,174725.99999999997,77.4504,1477.2184,9.4704,0.0,1221.92,43.46038195874491,iter2/OPTIMAL,253,1135,
hp6_m,1,wl,wl,full,OK,6,0.16882761513015437,2641.9850000000024,26324.120000000003,54.28,700.6995,11.98,0.0,3.59,33.28085708618164,iter2/OPTIMAL,78,293,
hp8_m,1,wl,wl,full,OK,8,0.7342418351116329,35813.44499999999,67292.255,62.145,911.1465,14.745,0.0,343.5,40.533809661865234,iter2/OPTIMAL,136,622,
multigpu,1,wl,wl,full,OK,6,0.5264014578475457,65371.86499999999,134110.04499999998,83.45,1731.6426,6.11,0.0,7.0,47.292496233546395,iter2/OPTIMAL,75,329,
syn1,1,wl,wl,full,OK,10,0.3507070542609698,40906.37499999999,135121.525,69.1425,1182.86,7.0175,0.0,1210.75,40.98876431413858,iter2/OPTIMAL,209,899,
syn4,1,wl,wl,full,OK,13,0.48258925841496386,86610.98499999999,206703.19999999998,63.06,994.068,0.54,0.0,3305.1,37.41951362591448,iter2/TIME_LIMIT,348,1550,
xerox6_m,1,wl,wl,full,OK,6,0.46784804756583526,34539.875,85991.11999999998,70.27,1221.759,7.13,0.0,178.74,39.45225215371107,iter2/OPTIMAL,78,401,
xerox7_m,1,wl,wl,full,OK,7,0.5970996210863783,49029.634999999995,107000.63999999998,75.675,1426.9566,4.345,0.0,324.12,46.099279820838845,iter2/OPTIMAL,105,581,
xerox8_m,1,wl,wl,full,OK,8,0.7408089116680836,96061.585,153338.74499999997,83.615,1741.7538,4.945,0.0,661.25,51.50340182939375,iter2/OPTIMAL,136,766,
