case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
Case10,1,61,60,130533.793130,12.361155,87.784890,103.640000,2348.042277,48.456602,48.456602,106.510000,8.144000,
Case10,2,61,60,131317.791244,12.435397,87.779304,103.530000,2348.042277,48.456602,48.456602,107.552000,7.714000,
Case10,3,61,60,131678.760218,12.469580,87.816978,103.760000,2348.061079,48.456699,48.456893,106.609000,7.843000,
Case10,4,61,60,148696.967002,14.081152,87.264546,102.190000,2348.070479,48.456796,48.456990,103.861000,8.487000,
Case10,5,61,60,148242.898504,14.038153,87.291809,102.400000,2348.075180,48.456796,48.457087,103.277000,8.574000,
Case6,1,20,20,67379.128972,5.981812,84.936921,113.420000,2237.338698,45.760002,48.892889,3.253000,9.640000,
Case6,2,20,20,66704.474100,5.921917,85.409854,114.010000,2078.296043,42.940000,48.400001,3.168000,9.781000,
Case6,3,20,20,65953.735040,5.855268,85.421912,113.540000,2214.783812,45.759998,48.399998,2.990000,9.440000,
Case6,4,20,20,65934.858342,5.853592,85.426558,113.980000,2078.296183,42.940002,48.400002,3.387000,8.748000,
Case6,5,20,20,66374.101508,5.892587,85.430640,114.130000,2214.784048,45.760001,48.400000,2.893000,8.989000,
Case7,1,28,34,65745.105580,11.673492,65.551963,73.700000,753.487512,27.449782,27.449672,9.949000,8.588000,
Case7,2,28,34,32674.534036,5.801586,66.854368,79.550000,748.431502,27.449672,27.265590,10.501000,8.761000,
Case7,3,28,34,43723.930302,7.763482,66.545278,76.280000,753.490532,27.449782,27.449782,9.161000,8.892000,
Case7,4,28,34,65139.367000,11.565939,65.526824,73.680000,753.487512,27.449727,27.449727,9.628000,8.791000,
Case7,5,28,34,64806.641748,11.506861,65.585857,73.720000,753.489022,27.449727,27.449782,9.213000,8.514000,
Case8,1,36,42,24227.073292,4.109069,69.251235,80.690000,449.583029,19.270284,23.330379,19.737000,10.129000,
Case8,2,36,42,27407.784698,4.648539,69.592856,80.440000,456.909581,19.753952,23.130034,18.812000,10.274000,
Case8,3,36,42,25943.712682,4.400223,69.462175,80.100000,460.570575,19.935085,23.103517,20.476000,10.403000,
Case8,4,36,42,27244.341828,4.620818,69.481343,80.380000,448.683151,19.440000,23.080409,21.023000,10.708000,
Case8,5,36,42,24357.088458,4.131121,69.317688,80.630000,449.569057,19.269999,23.329999,21.663000,10.606000,
Case9,1,44,43,155144.367724,10.132208,95.743704,118.700000,4168.176178,64.561414,64.561414,34.621000,8.532000,
Case9,2,44,43,161853.073892,10.570342,95.782009,119.050000,4168.217949,64.561802,64.561673,35.379000,8.919000,
Case9,3,44,43,162839.875104,10.634788,95.750977,118.570000,4168.217884,64.561802,64.561672,35.479000,8.814000,
Case9,4,44,43,160932.606024,10.510228,95.457942,119.530000,4168.201163,64.561672,64.561543,35.622000,8.621000,
Case9,5,44,43,164263.889134,10.727788,95.799639,118.750000,4168.217884,64.561802,64.561672,35.324000,8.592000,
acend910,1,6,5,42319.936396,17.287556,62.263777,73.830000,2009.131450,44.823336,44.823336,0.053000,7.364000,
acend910,2,6,5,40540.653104,16.560724,62.183735,73.820000,2009.131450,44.823336,44.823336,0.055000,7.337000,
acend910,3,6,5,44303.837084,18.097973,62.061787,73.730000,2009.131450,44.823336,44.823336,0.053000,7.563000,
acend910,4,6,5,41212.284446,16.835084,62.181155,73.820000,2009.131450,44.823336,44.823336,0.059000,7.466000,
acend910,5,6,5,43523.853880,17.779352,62.072546,73.720000,2009.131450,44.823336,44.823336,0.059000,7.489000,
cpu-dram,1,8,8,173826.130416,16.975208,81.210884,97.730000,1288.411038,35.894443,35.894443,0.182000,8.072000,
cpu-dram,2,8,8,194598.728176,19.003782,81.535745,97.760000,1288.411038,35.894443,35.894443,0.164000,8.307000,
cpu-dram,3,8,8,191583.484400,18.709325,81.539900,97.730000,1288.411038,35.894443,35.894443,0.162000,8.507000,
cpu-dram,4,8,8,166796.573406,16.288728,81.152698,97.760000,1288.411038,35.894443,35.894443,0.165000,8.371000,
cpu-dram,5,8,8,173154.316008,16.909601,81.212319,97.670000,1288.411038,35.894443,35.894443,0.178000,8.433000,
hp11_m,1,11,22,145290.744898,12.612044,74.113599,101.010000,1596.095698,36.810000,43.360383,0.846000,8.448000,
hp11_m,2,11,22,130425.201122,11.321632,73.939729,99.010000,1573.114695,36.280000,43.360383,0.928000,8.407000,
hp11_m,3,11,22,155956.454578,13.537887,73.888135,99.660000,1813.961113,41.834527,43.360383,1.000000,8.291000,
hp11_m,4,11,22,147288.025018,12.785419,73.960371,100.740000,1596.095698,36.810000,43.360383,0.933000,8.254000,
hp11_m,5,11,22,109889.640820,9.539031,74.134102,101.920000,1504.171730,34.690001,43.360383,0.850000,8.168000,
multigpu,1,6,6,107853.962860,15.603872,76.745283,90.190000,2227.131679,47.192496,47.192496,0.071000,7.865000,
multigpu,2,6,6,104390.591848,15.102806,76.346230,89.520000,2227.131679,47.192496,47.192496,0.069000,7.510000,
multigpu,3,6,6,96207.002648,13.918837,76.687283,90.240000,2227.131679,47.192496,47.192496,0.070000,7.545000,
multigpu,4,6,6,96495.196140,13.960532,76.689260,90.270000,2227.131679,47.192496,47.192496,0.115000,7.903000,
multigpu,5,6,6,97680.777046,14.132057,76.770078,90.330000,2227.131679,47.192496,47.192496,0.070000,8.138000,
syn1,1,10,17,118732.179010,15.459919,74.194651,85.780000,1671.891185,40.888766,40.888766,0.524000,7.675000,
syn1,2,10,17,112854.926472,14.694652,74.385273,85.560000,1671.891185,40.888766,40.888766,0.529000,8.801000,
syn1,3,10,17,120481.541208,15.687701,74.172947,85.720000,1671.891185,40.888766,40.888766,0.532000,8.398000,
syn1,4,10,17,127643.460788,16.620242,73.813000,86.090000,1671.891185,40.888766,40.888766,0.522000,7.716000,
syn1,5,10,17,120016.672292,15.627171,74.305142,85.840000,1671.891185,40.888766,40.888766,0.561000,9.112000,
syn4,1,13,30,212632.658276,16.286202,72.940972,80.720000,1392.745976,37.319512,37.319512,1.603000,7.602000,
syn4,2,13,30,212651.629484,16.287655,72.942642,80.710000,1392.745976,37.319512,37.319512,1.639000,7.999000,
syn4,3,13,30,208979.422768,16.006390,73.096145,81.190000,1392.745976,37.319512,37.319512,1.987000,8.425000,
syn4,4,13,30,214355.125232,16.418132,72.990693,80.720000,1392.746051,37.319512,37.319514,1.748000,8.151000,
syn4,5,13,30,137542.516928,10.534813,75.258025,88.000000,1386.541159,37.153250,37.319512,1.690000,8.754000,
xerox8_m,1,8,16,210828.827828,21.116669,61.670320,75.390000,2642.309737,51.403402,51.403402,0.324000,7.856000,
xerox8_m,2,8,16,211893.683184,21.223326,61.949329,75.910000,2642.309737,51.403402,51.403402,0.331000,7.823000,
xerox8_m,3,8,16,212956.679146,21.329796,61.625366,75.330000,2642.309737,51.403402,51.403402,0.335000,7.736000,
xerox8_m,4,8,16,196617.911786,19.693300,62.253596,76.070000,2642.309737,51.403402,51.403402,0.341000,8.054000,
xerox8_m,5,8,16,205499.279020,20.582860,62.192522,76.060000,2642.309737,51.403402,51.403402,0.324000,7.664000,
