# AT 两套参数对比: 统一参数版=result_old/*_bump(wl_weight=0.004645) vs 逐case调参版=result/*_bump(wl_weight=0)
"# Δ% = (统一 - 逐case)/逐case * 100, 负数=统一版更小/更好"
case,统一_线长_mm,逐case_线长_mm,Δ线长%,统一_峰值温度_C,逐case_峰值温度_C,Δ温度%,统一_bbox面积_mm2,逐case_bbox面积_mm2,Δ面积%
Case10,94358.19,138094.04,-31.67,116.49,103.10,+12.98,2318.09,2348.06,-1.28
Case6,74835.41,66469.26,+12.59,101.74,113.82,-10.61,2529.27,2164.70,+16.84
Case7,35289.74,54417.92,-35.15,79.02,75.39,+4.82,752.08,752.48,-0.05
Case8,34418.02,25836.00,+33.22,76.13,80.45,-5.37,535.36,453.06,+18.17
Case9,110644.08,161006.76,-31.28,115.42,118.92,-2.94,4165.91,4168.21,-0.06
acend910,34351.54,42380.11,-18.94,74.40,73.78,+0.84,1712.92,2009.13,-14.74
cpu-dram,92704.17,179991.85,-48.50,115.52,97.73,+18.20,1023.20,1288.41,-20.58
hp11_m,136108.98,137770.01,-1.21,101.15,100.47,+0.68,1790.94,1616.69,+10.78
multigpu,83886.58,100525.51,-16.55,96.68,90.11,+7.29,2178.45,2227.13,-2.19
syn1,68224.37,119945.76,-43.12,92.88,85.80,+8.25,1589.06,1671.89,-4.95
syn4,102851.34,197232.27,-47.85,93.55,82.27,+13.71,1169.84,1391.51,-15.93
xerox8_m,104544.13,207559.28,-49.63,81.05,75.75,+6.99,1830.12,2642.31,-30.74

"# _op 变体 (各 case 原始参数版, 仅 Case7/Case8 的 seed1; base_seed=1 而 _bump 是 5, 参数与种子同时变, 不可单独归因)"
case,变体,总线长_mm,峰值温度_C,bbox面积_mm2
Case7,Case7_op(原始参数),58584.57,75.82,753.48
Case7,Case7_bump(统一参数),32759.11,79.67,748.00
Case8,Case8_op(原始参数),20472.79,80.55,459.46
Case8,Case8_bump(统一参数),37219.62,75.03,555.89
