case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
Case10,1,61,60,98096.683546,9.289459,90.847126,117.110000,2298.067724,47.425276,48.456602,104.321000,8.819000,
Case10,2,61,60,91049.773250,8.622138,90.495737,115.360000,2347.755172,48.450677,48.456602,101.770000,8.514000,
Case10,3,61,60,91805.541908,8.693707,90.627712,115.860000,2298.125339,47.426465,48.456602,100.299000,8.188000,
Case10,4,61,60,93377.994460,8.842613,91.293965,117.140000,2298.442390,47.433008,48.456602,104.465000,8.864000,
Case10,5,61,60,97460.974922,9.229259,90.752783,116.960000,2348.042277,48.456602,48.456602,103.609000,8.910000,
Case6,1,20,20,77594.457598,6.888712,81.826807,100.040000,2567.198698,50.667531,50.667531,3.027000,8.585000,
Case6,2,20,20,71683.377798,6.363936,82.895342,105.310000,2377.551142,50.667531,46.924551,2.625000,8.495000,
Case6,3,20,20,74272.061192,6.593755,82.113467,101.360000,2567.198698,50.667531,50.667531,2.689000,8.565000,
Case6,4,20,20,75305.529130,6.685505,82.034053,100.910000,2567.198698,50.667531,50.667531,3.202000,7.769000,
Case6,5,20,20,75321.612400,6.686933,82.115706,101.100000,2567.198698,50.667531,50.667531,2.742000,7.755000,
Case7,1,28,34,32759.106056,5.816603,67.053210,79.670000,748.002876,27.449672,27.249975,9.564000,9.948000,
Case7,2,28,34,33893.211080,6.017971,66.923264,79.270000,753.484493,27.449672,27.449672,10.002000,9.793000,
Case7,3,28,34,34280.509786,6.086738,66.910085,79.240000,753.188915,27.449672,27.438904,10.558000,8.936000,
Case7,4,28,34,32331.230140,5.740630,67.026555,79.710000,752.220024,27.449672,27.403607,9.225000,8.681000,
Case7,5,28,34,43184.643922,7.667728,66.638506,77.190000,753.484493,27.449672,27.449672,9.765000,8.408000,
Case7_op,1,28,34,58584.568056,10.402089,65.844717,75.820000,753.484493,27.449672,27.449672,9.027000,8.731000,
Case8,1,36,42,37219.621658,6.312690,68.040510,75.030000,555.892895,23.577381,23.577381,21.275000,10.215000,
Case8,2,36,42,21644.002582,3.670964,69.007131,80.290000,453.247446,19.223825,23.577381,20.883000,9.818000,
