case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error,case_src,srcs,pareto_layer
acend910,84,6,5,37507.309124,15.321613,63.103943,74.380000,1526.503778,40.707955,37.498906,0.056000,8.095000,,acend910,ours_50set.csv;result.csv,1
acend910,106,6,5,40110.662216,16.385074,64.236853,74.360000,1424.541741,37.902005,37.584865,0.056000,8.339000,,acend910,ours_50set.csv;result.csv,1
acend910,120,6,5,21176.562800,8.650557,62.922371,74.860000,1775.680474,40.817392,43.503036,0.055000,7.801000,,acend910,ours_50set.csv;result.csv,1
acend910,68,6,5,22781.018798,9.305972,65.218196,75.250000,1414.605692,37.874047,37.350265,0.087000,10.636000,,acend910,ours_50set.csv;result_old.csv,1
acend910,70,6,5,31859.868256,13.014652,62.741240,74.490000,1429.967018,32.933002,43.420488,0.096000,10.279000,,acend910,ours_50set.csv;result_old.csv,1
acend910,71,6,5,26858.366498,10.971555,62.859426,74.810000,1310.198381,30.153147,43.451464,0.088000,10.584000,,acend910,ours_50set.csv;result_old.csv,1
acend910,121,6,5,27821.880640,11.365147,63.714980,74.670000,1571.634847,38.105446,41.244363,0.059000,8.364000,,acend910_thermal0p01_wirelength0,ours_50set.csv;result.csv,1
acend910,121,6,5,24279.812644,9.918224,62.915186,74.960000,1494.303413,34.280253,43.590793,0.059000,8.199000,,acend910_thermal0p01_wirelength0p02,ours_50set.csv;result.csv,1
acend910,121,6,5,21455.441746,8.764478,62.917341,75.030000,1436.100486,32.863049,43.699551,0.062000,8.057000,,acend910_thermal0p01_wirelength2,ours_50set.csv;result.csv,1
acend910,121,6,5,24213.762694,9.891243,62.923179,74.960000,1494.345479,34.297623,43.569943,0.067000,8.259000,,acend910_thermal0p03_wirelength0p02,ours_50set.csv;result.csv,1
acend910,121,6,5,18636.936624,7.613128,63.031770,75.170000,1442.259867,33.214619,43.422442,0.061000,8.365000,,acend910_thermal0p03_wirelength2,ours_50set.csv;result.csv,1
acend910,121,6,5,59232.863576,24.196431,62.049404,73.150000,1744.244300,40.333095,43.245982,0.068000,7.976000,,acend910_thermal0p03_wirelength50,ours_50set.csv;result.csv,1
acend910,121,6,5,19985.514624,8.164017,63.045522,75.100000,1629.384307,37.272409,43.715562,0.071000,8.143000,,acend910_thermal0p1_wirelength2,ours_50set.csv;result.csv,1
acend910,121,6,5,18898.145160,7.719831,65.458672,75.430000,1236.949924,32.957048,37.532182,0.063000,8.834000,,acend910_thermal100_wirelength0p02,ours_50set.csv;result.csv,1
acend910,121,6,5,29062.944048,11.872118,63.138423,74.610000,1626.759144,37.856374,42.971869,0.073000,8.017000,,acend910_thermal10_wirelength0,ours_50set.csv;result.csv,1
acend910,121,6,5,26463.314834,10.810178,63.737852,74.950000,1572.134731,37.952383,41.423874,0.061000,8.510000,,acend910_thermal1_wirelength0,ours_50set.csv;result.csv,1
acend910,121,6,5,18642.481256,7.615393,62.786580,75.120000,1467.153327,32.956350,44.518077,0.056000,8.177000,,acend910_thermal1_wirelength2,ours_50set.csv;result.csv,1
acend910,121,6,5,55566.874168,22.698887,59.289761,73.530000,1520.540488,27.444241,55.404720,0.066000,7.362000,,acend910_thermal1_wirelength50,ours_50set.csv;result.csv,1
acend910,121,6,5,21167.321632,8.646782,63.120356,75.070000,1652.453844,37.993459,43.493114,0.067000,8.297000,,acend910_thermal30_wirelength0p02,ours_50set.csv;result.csv,1
