case,thermal_weight,wirelength_weight,n_attempted,n_legal,legal_seeds,illegal_seeds,all_in_resultcsv
acend910,10,2,3,3,1056634028 946615675 1486441653,,0
acend910,0.1,2,3,3,946615675 1056634028 1486441653,,0
acend910,100,0,3,3,946615675 1486441653 1056634028,,0
acend910,100,2,3,3,946615675 1056634028 1486441653,,0
acend910,10,0.02,3,3,946615675 1056634028 1486441653,,0
acend910,30,0,3,3,946615675 1056634028 1486441653,,0
acend910,0.03,0,3,3,946615675 1056634028 1486441653,,0
acend910,0.3,0,3,3,946615675 1056634028 1486441653,,0
acend910,0.1,0,3,3,1056634028 946615675 1486441653,,0
acend910,1,0,3,3,946615675 1056634028 1486441653,,0
acend910,3,2,3,3,1056634028 946615675 1486441653,,0
acend910,100,0.2,3,3,946615675 1056634028 1486441653,,0
acend910,0.01,2,3,3,1056634028 946615675 1486441653,,0
acend910,0.3,0.2,3,3,946615675 1056634028 1486441653,,0
cpu-dram,0.3,2,3,3,946615675 1486441653 1056634028,,0
cpu-dram,30,2,3,3,946615675 1056634028 1486441653,,0
cpu-dram,1,2,3,3,946615675 1056634028 1486441653,,0
cpu-dram,100,50,3,3,946615675 1056634028 1486441653,,0
cpu-dram,1,50,3,2,946615675 1056634028,1486441653,0
cpu-dram,0,0.2,3,3,946615675 1056634028 1486441653,,0
cpu-dram,0.03,50,3,3,946615675 1056634028 1486441653,,0
cpu-dram,10,50,3,2,946615675 1486441653,1056634028,0
cpu-dram,0.3,50,3,3,946615675 1056634028 1486441653,,0
cpu-dram,3,50,3,2,946615675 1056634028,1486441653,0
cpu-dram,3,2,3,3,946615675 1056634028 1486441653,,0
cpu-dram,100,0.2,3,3,946615675 1056634028 1486441653,,0
cpu-dram,0.01,2,3,3,946615675 1056634028 1486441653,,0
cpu-dram,0.3,0.2,3,3,946615675 1056634028 1486441653,,0
hp11_m,1,2,3,2,946615675 1056634028,1486441653,0
hp11_m,0,2,3,3,946615675 1056634028 1486441653,,0
hp11_m,30,2,3,3,946615675 1056634028 1486441653,,0
hp11_m,30,50,3,3,946615675 1056634028 1486441653,,0
hp11_m,0.3,50,3,3,946615675 1056634028 1486441653,,0
hp11_m,10,50,3,3,946615675 1056634028 1486441653,,0
hp11_m,0.01,50,3,3,946615675 1056634028 1486441653,,0
hp11_m,0.03,2,3,3,946615675 1056634028 1486441653,,0
hp11_m,0.03,0.02,3,3,946615675 1056634028 1486441653,,0
hp11_m,100,0.2,3,3,946615675 1056634028 1486441653,,0
hp11_m,3,2,3,3,946615675 1056634028 1486441653,,0
hp11_m,0.01,2,3,3,946615675 1056634028 1486441653,,0
hp11_m,0.3,0.2,3,3,946615675 1056634028 1486441653,,0
multigpu,0,0.02,3,3,946615675 1056634028 1486441653,,0
multigpu,0.01,0.02,3,3,946615675 1056634028 1486441653,,0
multigpu,0.03,0.02,3,3,946615675 1056634028 1486441653,,0
multigpu,0.1,0.02,3,3,946615675 1056634028 1486441653,,0
multigpu,0.3,0.02,3,3,946615675 1056634028 1486441653,,0
multigpu,30,0.02,3,3,946615675 1056634028 1486441653,,0
multigpu,1,0.02,3,3,946615675 1056634028 1486441653,,0
multigpu,10,0,3,3,946615675 1056634028 1486441653,,0
multigpu,3,0,3,3,946615675 1056634028 1486441653,,0
multigpu,0.3,0,3,3,946615675 1056634028 1486441653,,0
multigpu,3,2,3,3,946615675 1056634028 1486441653,,0
multigpu,100,0.2,3,3,946615675 1056634028 1486441653,,0
multigpu,0.01,2,3,3,946615675 1056634028 1486441653,,0
multigpu,0.3,0.2,3,3,946615675 1056634028 1486441653,,0
