case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
acend910_t0p01-w2,946615675,6,5,21253.913918,8.682154,63.099192,75.100000,1430.476334,32.907850,43.469152,0.109000,10.210000,
acend910_t0p01-w2,1056634028,6,5,24022.594952,9.813152,63.725215,75.070000,1690.500900,40.710741,41.524690,0.111000,10.444000,
acend910_t0p01-w2,1486441653,6,5,31990.543966,13.068033,61.811687,74.600000,1589.907599,33.608986,47.306027,0.110000,9.833000,
acend910_t0p03-w0,946615675,6,5,20934.031192,8.551483,63.090571,75.160000,1430.442963,32.887441,43.495113,0.112000,10.452000,
acend910_t0p03-w0,1056634028,6,5,26066.167224,10.647944,63.043411,74.890000,1464.032176,33.638914,43.521981,0.110000,10.251000,
acend910_t0p03-w0,1486441653,6,5,25727.917600,10.509770,63.002996,74.720000,1648.169025,37.908224,43.477875,0.109000,10.133000,
acend910_t0p1-w0,946615675,6,5,19785.226430,8.082200,65.453704,75.420000,1237.214666,32.951633,37.546384,0.087000,10.968000,
acend910_t0p1-w0,1056634028,6,5,25917.261952,10.587117,63.042979,74.920000,1465.940040,33.682798,43.521920,0.081000,10.039000,
acend910_t0p1-w0,1486441653,6,5,21653.203474,8.845263,63.031895,75.040000,1648.513501,37.922981,43.470040,0.070000,10.371000,
acend910_t0p1-w2,946615675,6,5,43221.086150,17.655672,63.842480,74.180000,1484.136712,37.893176,39.166332,0.081000,10.831000,
acend910_t0p1-w2,1056634028,6,5,19853.230164,8.109980,65.056704,75.300000,1345.441753,34.837734,38.620243,0.093000,11.003000,
acend910_t0p1-w2,1486441653,6,5,20341.777624,8.309550,66.042322,75.640000,1204.975476,32.977468,36.539357,0.072000,11.260000,
acend910_t0p3-w0,946615675,6,5,19692.060584,8.044142,65.468164,75.430000,1237.140769,32.971175,37.521889,0.071000,8.189000,
acend910_t0p3-w0,1056634028,6,5,26567.904320,10.852902,63.028267,74.880000,1467.821958,33.730030,43.516770,0.073000,10.399000,
acend910_t0p3-w0,1486441653,6,5,25499.385456,10.416416,63.034568,74.740000,1643.776469,37.854425,43.423628,0.076000,10.276000,
acend910_t0p3-w0p2,946615675,6,5,19082.152452,7.794997,65.855266,75.530000,1209.136598,32.945179,36.701473,0.077000,8.380000,
acend910_t0p3-w0p2,1056634028,6,5,18763.761380,7.664935,63.046208,75.230000,1428.035199,32.848408,43.473498,0.091000,10.455000,
acend910_t0p3-w0p2,1486441653,6,5,20980.894810,8.570627,63.077856,75.040000,1429.791071,32.888569,43.473800,0.079000,10.430000,
acend910_t1-w0,946615675,6,5,22693.081228,9.270050,63.010537,74.940000,1475.833056,33.922184,43.506428,0.072000,7.339000,
acend910_t1-w0,1056634028,6,5,24418.762538,9.974985,62.967251,74.940000,1470.176848,33.568777,43.795961,0.076000,7.196000,
acend910_t1-w0,1486441653,6,5,22236.806444,9.083663,63.059824,75.000000,1644.260010,37.874019,43.413930,0.080000,7.424000,
acend910_t10-w0p02,946615675,6,5,21156.642310,8.642419,63.161372,75.050000,1430.351305,32.910100,43.462381,0.082000,10.147000,
acend910_t10-w0p02,1056634028,6,5,24053.878306,9.825931,62.867476,74.730000,1770.883557,40.690312,43.521012,0.076000,7.210000,
acend910_t10-w0p02,1486441653,6,5,21298.649652,8.700429,63.069775,75.030000,1433.397632,32.970293,43.475429,0.075000,10.133000,
acend910_t10-w2,946615675,6,5,27838.156190,11.371796,65.096172,75.270000,1238.106949,32.957549,37.566718,0.077000,11.298000,
acend910_t10-w2,1056634028,6,5,28474.913190,11.631909,65.135305,75.270000,1235.531733,32.923148,37.527752,0.079000,11.219000,
acend910_t10-w2,1486441653,6,5,41438.636258,16.927547,63.290032,74.320000,1322.303906,40.659175,32.521661,0.080000,10.303000,
acend910_t100-w0,946615675,6,5,27424.412834,11.202783,62.314927,74.830000,1829.783939,40.598873,45.069821,0.079000,10.123000,
acend910_t100-w0,1056634028,6,5,26301.126798,10.743924,62.811758,74.660000,1845.262563,42.465691,43.453021,0.070000,9.964000,
acend910_t100-w0,1486441653,6,5,27778.259360,11.347328,64.111287,74.790000,1529.574136,37.966427,40.287545,0.077000,10.423000,
acend910_t100-w0p2,946615675,6,5,18308.096500,7.478798,63.131909,75.210000,1430.396777,32.915076,43.457192,0.076000,10.626000,
acend910_t100-w0p2,1056634028,6,5,17554.370144,7.170903,63.060513,75.320000,1432.790868,32.975974,43.449539,0.080000,10.431000,
acend910_t100-w0p2,1486441653,6,5,16385.256976,6.693324,63.030051,75.390000,1438.039034,32.870523,43.748590,0.083000,10.396000,
acend910_t100-w2,946615675,6,5,17705.384164,7.232592,63.078044,75.280000,1430.391086,32.921085,43.449087,0.105000,10.463000,
acend910_t100-w2,1056634028,6,5,19164.626840,7.828687,62.475725,75.080000,1505.648416,32.964219,45.675234,0.073000,10.063000,
acend910_t100-w2,1486441653,6,5,24434.845492,9.981555,65.153474,75.180000,1421.288154,37.895901,37.505063,0.075000,11.110000,
acend910_t3-w2,946615675,6,5,22420.711320,9.158787,65.238323,75.320000,1399.422797,37.885804,36.937920,0.073000,8.637000,
