out_file,profile,case,seed,thermal_weight,wirelength_weight,sampling_s,generation_s,inference_eval_s,legalize_stage_a_s,legalize_stage_b_s,legalize_other_s,legalize_total_s,wall_total_s,setup_overhead_s
hp6_m_alpha_0p9_t0.03-w2_seed312945035.json,alpha_0p9,hp6_m,312945035,0.03,2,41.313,43.011,0.053,5.6,6.145,0.078,11.823,63.07,8.236
hp6_m_alpha_0p9_t0.03-w2_seed731936390.json,alpha_0p9,hp6_m,731936390,0.03,2,40.35,41.983,0.044,5.161,6.429,0.06,11.65,62.091,8.458
hp6_m_alpha_0p9_t0.03-w2_seed1343216877.json,alpha_0p9,hp6_m,1343216877,0.03,2,40.214,42.101,0.057,5.372,6.003,0.091,11.466,62.392,8.825
hp6_m_alpha_0p9_t0.03-w2_seed1619340970.json,alpha_0p9,hp6_m,1619340970,0.03,2,41.576,43.332,0.077,5.261,6.265,0.059,11.585,63.594,8.677
hp6_m_alpha_0p9_t0.03-w2_seed1991307090.json,alpha_0p9,hp6_m,1991307090,0.03,2,39.633,41.368,0.055,5.037,7.769,0.059,12.865,62.424,8.191
hp8_m_alpha_0p9_t0.03-w2_seed312945035.json,alpha_0p9,hp8_m,312945035,0.03,2,39.182,40.824,0.043,5.726,5.57,0.111,11.407,63.166,10.935
hp8_m_alpha_0p9_t0.03-w2_seed731936390.json,alpha_0p9,hp8_m,731936390,0.03,2,39.919,41.564,0.044,12.31,3.104,0.088,15.502,65.635,8.569
hp8_m_alpha_0p9_t0.03-w2_seed1343216877.json,alpha_0p9,hp8_m,1343216877,0.03,2,38.992,38.297,0.043,6.737,6.318,0.105,13.16,62.545,11.088
hp8_m_alpha_0p9_t0.03-w2_seed1619340970.json,alpha_0p9,hp8_m,1619340970,0.03,2,39.497,41.165,0.048,5.367,5.479,0.092,10.938,63.179,11.076
hp8_m_alpha_0p9_t0.03-w2_seed1991307090.json,alpha_0p9,hp8_m,1991307090,0.03,2,36.497,38.168,0.041,5.118,5.792,0.118,11.028,60.117,10.921
xerox6_m_alpha_0p9_t100-w0.02_seed312945035.json,alpha_0p9,xerox6_m,312945035,100,0.02,39.145,40.748,0.038,5.043,7.355,0.13,12.528,61.523,8.247
xerox6_m_alpha_0p9_t100-w0.02_seed731936390.json,alpha_0p9,xerox6_m,731936390,100,0.02,41.254,42.876,0.041,5.445,5.213,0.129,10.787,61.936,8.273
xerox6_m_alpha_0p9_t100-w0.02_seed1343216877.json,alpha_0p9,xerox6_m,1343216877,100,0.02,38.93,40.816,0.05,4.791,3.471,0.053,8.315,57.775,8.644
xerox6_m_alpha_0p9_t100-w0.02_seed1619340970.json,alpha_0p9,xerox6_m,1619340970,100,0.02,39.197,40.858,0.038,5.086,5.901,0.054,11.041,60.397,8.498
xerox6_m_alpha_0p9_t100-w0.02_seed1991307090.json,alpha_0p9,xerox6_m,1991307090,100,0.02,41.887,43.573,0.04,5.397,5.999,0.056,11.452,60.755,5.73
xerox7_m_alpha_0p9_t100-w0.02_seed312945035.json,alpha_0p9,xerox7_m,312945035,100,0.02,40.596,42.198,0.076,4.966,6.045,0.099,11.11,61.318,8.01
xerox7_m_alpha_0p9_t100-w0.02_seed731936390.json,alpha_0p9,xerox7_m,731936390,100,0.02,41.897,43.552,0.038,5.067,6.821,0.052,11.94,66.257,10.765
xerox7_m_alpha_0p9_t100-w0.02_seed1343216877.json,alpha_0p9,xerox7_m,1343216877,100,0.02,41.496,43.266,0.046,5.315,6.451,0.094,11.86,63.527,8.401
xerox7_m_alpha_0p9_t100-w0.02_seed1619340970.json,alpha_0p9,xerox7_m,1619340970,100,0.02,40.043,41.688,0.054,5.109,5.541,0.058,10.708,60.899,8.503
xerox7_m_alpha_0p9_t100-w0.02_seed1991307090.json,alpha_0p9,xerox7_m,1991307090,100,0.02,39.008,40.629,0.05,4.85,5.062,0.098,10.01,58.916,8.277
