out_file,source,profile,case,thermal_weight,wirelength_weight,seed,is_legal,layout_json,benchmark,benchmark_fallback
acend910_alpha_0p1_t3-w2_seed1343216877.json,legal,alpha_0p1,acend910,3,2,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-acend910-t3-w2-table_profiles_5seed_20260917\seed_1343216877\legalized\05_acend910_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\acend910.json,0
acend910_alpha_0p1_t3-w2_seed1619340970.json,legal,alpha_0p1,acend910,3,2,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-acend910-t3-w2-table_profiles_5seed_20260917\seed_1619340970\legalized\05_acend910_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\acend910.json,0
acend910_alpha_0p1_t3-w2_seed1991307090.json,legal,alpha_0p1,acend910,3,2,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-acend910-t3-w2-table_profiles_5seed_20260917\seed_1991307090\legalized\05_acend910_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\acend910.json,0
acend910_alpha_0p1_t3-w2_seed312945035.json,legal,alpha_0p1,acend910,3,2,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-acend910-t3-w2-table_profiles_5seed_20260917\seed_312945035\legalized\05_acend910_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\acend910.json,0
acend910_alpha_0p1_t3-w2_seed731936390.json,legal,alpha_0p1,acend910,3,2,731936390,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-acend910-t3-w2-table_profiles_5seed_20260917\seed_731936390\legalized\05_acend910_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\acend910.json,0
Case10_alpha_0p1_t100-w0_seed1343216877.json,legal,alpha_0p1,Case10,100,0,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-Case10-t100-w0-table_profiles_5seed_20260917\seed_1343216877\legalized\00_Case10_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case10.json,0
Case10_alpha_0p1_t100-w0_seed1619340970.json,legal,alpha_0p1,Case10,100,0,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-Case10-t100-w0-table_profiles_5seed_20260917\seed_1619340970\legalized\00_Case10_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case10.json,0
Case10_alpha_0p1_t100-w0_seed1991307090.json,legal,alpha_0p1,Case10,100,0,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-Case10-t100-w0-table_profiles_5seed_20260917\seed_1991307090\legalized\00_Case10_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case10.json,0
Case10_alpha_0p1_t100-w0_seed312945035.json,legal,alpha_0p1,Case10,100,0,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-Case10-t100-w0-table_profiles_5seed_20260917\seed_312945035\legalized\00_Case10_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case10.json,0
Case10_alpha_0p1_t100-w0_seed731936390.json,legal,alpha_0p1,Case10,100,0,731936390,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-Case10-t100-w0-table_profiles_5seed_20260917\seed_731936390\legalized\00_Case10_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case10.json,0
Case6_alpha_0p1_t10-w2_seed1343216877.json,legal,alpha_0p1,Case6,10,2,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-Case6-t10-w2-table_profiles_5seed_20260917\seed_1343216877\legalized\01_Case6_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case6.json,0
Case6_alpha_0p1_t10-w2_seed1619340970.json,legal,alpha_0p1,Case6,10,2,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-Case6-t10-w2-table_profiles_5seed_20260917\seed_1619340970\legalized\01_Case6_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case6.json,0
Case6_alpha_0p1_t10-w2_seed1991307090.json,legal,alpha_0p1,Case6,10,2,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-Case6-t10-w2-table_profiles_5seed_20260917\seed_1991307090\legalized\01_Case6_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\Case6.json,0
