case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
Case10_alpha_0p1_t100-w0,312945035,61,60,239125.061568,22.644419,89.624751,103.390000,2304.655594,48.241417,47.773381,120.037000,10.267000,
Case10_alpha_0p1_t100-w0,731936390,61,60,211694.864690,20.046862,89.945691,107.000000,2288.759542,48.171323,47.512906,110.982000,11.442000,
Case10_alpha_0p1_t100-w0,1343216877,61,60,231087.868426,21.883321,88.050337,105.130000,2377.874903,48.959206,48.568494,114.331000,9.954000,
Case10_alpha_0p1_t100-w0,1619340970,61,60,217066.468994,20.555537,89.624580,105.340000,2316.950701,48.164000,48.105446,107.512000,9.821000,
Case10_alpha_0p1_t100-w0,1991307090,61,60,236269.375432,22.373994,88.695037,104.270000,2325.887690,47.838878,48.619194,112.225000,9.925000,
Case10_alpha_0p9_t100-w2,312945035,61,60,49523.350696,4.689711,92.733264,121.460000,2131.608410,47.406334,44.964633,110.195000,10.248000,
Case10_alpha_0p9_t100-w2,731936390,61,60,69486.416998,6.580153,94.602783,118.650000,1914.657352,44.813530,42.724984,141.150000,13.411000,
Case10_alpha_0p9_t100-w2,1343216877,61,60,70467.785852,6.673086,93.785029,117.310000,2020.157042,44.116075,45.791858,119.273000,10.882000,
Case10_alpha_0p9_t100-w2,1619340970,61,60,54810.273888,5.190367,93.515107,120.810000,2055.339208,46.947691,43.779346,110.342000,11.089000,
Case10_alpha_0p9_t100-w2,1991307090,61,60,83882.314706,7.943401,92.811064,127.420000,2072.478502,44.879093,46.179153,111.317000,10.290000,
Case6_alpha_0p1_t10-w2,312945035,20,20,139281.796860,12.365216,87.277793,100.760000,1683.337771,41.339988,40.719358,3.997000,10.528000,
Case6_alpha_0p1_t10-w2,731936390,20,20,153816.204468,13.655558,85.948657,103.450000,1851.155870,43.685152,42.374944,4.021000,11.536000,
Case6_alpha_0p1_t10-w2,1343216877,20,20,101992.421774,9.054725,85.465544,100.290000,1924.330843,43.933134,43.801356,3.318000,9.423000,
Case6_alpha_0p1_t10-w2,1619340970,20,20,118184.471768,10.492229,86.807524,104.380000,1834.493856,42.944393,42.717890,3.351000,10.407000,
Case6_alpha_0p1_t10-w2,1991307090,20,20,123203.745694,10.937833,86.755828,113.980000,2126.592419,46.556740,45.677434,3.133000,9.176000,
Case6_alpha_0p9_t10-w2,312945035,20,20,138763.458794,12.319199,87.632041,123.880000,1917.792750,44.000652,43.585553,3.690000,9.799000,
Case6_alpha_0p9_t10-w2,731936390,20,20,103552.095192,9.193190,86.936499,113.240000,1946.466334,44.185380,44.052271,2.325000,10.404000,
