out_file,profile,case,seed,thermal_weight,wirelength_weight,sampling_s,generation_s,inference_eval_s,legalize_stage_a_s,legalize_stage_b_s,legalize_other_s,legalize_total_s,wall_total_s,setup_overhead_s
acend910_alpha_0p1_t3-w2_seed1343216877.json,alpha_0p1,acend910,1343216877,3,2,34.024,36.27,0.054,0.275,8.769,6.322,15.366,66.0,14.364
acend910_alpha_0p1_t3-w2_seed1619340970.json,alpha_0p1,acend910,1619340970,3,2,35.2,36.823,0.055,0.92,9.884,5.276,16.08,66.0,13.097
acend910_alpha_0p1_t3-w2_seed1991307090.json,alpha_0p1,acend910,1991307090,3,2,37.814,39.797,0.084,0.638,5.912,5.202,11.752,64.0,12.451
acend910_alpha_0p1_t3-w2_seed312945035.json,alpha_0p1,acend910,312945035,3,2,37.741,40.063,0.072,1.232,7.063,6.134,14.429,67.0,12.508
acend910_alpha_0p1_t3-w2_seed731936390.json,alpha_0p1,acend910,731936390,3,2,38.833,40.561,0.09,1.105,0.088,5.064,6.257,59.0,12.182
Case10_alpha_0p1_t100-w0_seed1343216877.json,alpha_0p1,Case10,1343216877,100,0,38.888,40.865,0.054,0.96,12.023,5.808,18.791,73.0,13.344
Case10_alpha_0p1_t100-w0_seed1619340970.json,alpha_0p1,Case10,1619340970,100,0,44.189,47.426,0.163,0.472,11.186,5.708,17.366,80.0,15.208
Case10_alpha_0p1_t100-w0_seed1991307090.json,alpha_0p1,Case10,1991307090,100,0,42.749,45.076,0.059,1.391,7.408,4.902,13.701,72.0,13.223
Case10_alpha_0p1_t100-w0_seed312945035.json,alpha_0p1,Case10,312945035,100,0,43.543,46.248,0.152,28.739,10.468,5.775,44.982,105.0,13.77
Case10_alpha_0p1_t100-w0_seed731936390.json,alpha_0p1,Case10,731936390,100,0,38.932,41.054,0.069,19.158,11.011,6.148,36.317,91.0,13.629
Case6_alpha_0p1_t10-w2_seed1343216877.json,alpha_0p1,Case6,1343216877,10,2,32.931,34.773,0.048,0.962,6.421,6.189,13.572,61.0,12.655
Case6_alpha_0p1_t10-w2_seed1619340970.json,alpha_0p1,Case6,1619340970,10,2,39.81,41.666,0.073,1.506,5.58,5.386,12.472,67.0,12.862
Case6_alpha_0p1_t10-w2_seed1991307090.json,alpha_0p1,Case6,1991307090,10,2,37.731,39.488,0.041,0.88,5.991,6.57,13.441,64.0,11.071
Case6_alpha_0p1_t10-w2_seed312945035.json,alpha_0p1,Case6,312945035,10,2,37.808,40.374,0.043,1.32,3.411,5.277,10.008,65.0,14.618
Case6_alpha_0p1_t10-w2_seed731936390.json,alpha_0p1,Case6,731936390,10,2,35.773,37.828,0.095,1.601,5.174,6.147,12.922,64.0,13.25
Case7_alpha_0p1_t10-w50_seed1343216877.json,alpha_0p1,Case7,1343216877,10,50,36.66,40.403,0.281,6.397,0.086,6.784,13.267,67.0,13.33
Case7_alpha_0p1_t10-w50_seed1619340970.json,alpha_0p1,Case7,1619340970,10,50,33.578,36.468,0.037,3.176,0.093,5.132,8.401,57.0,12.131
Case7_alpha_0p1_t10-w50_seed1991307090.json,alpha_0p1,Case7,1991307090,10,50,37.433,39.591,0.224,0.238,9.985,6.121,16.344,69.0,13.065
Case7_alpha_0p1_t10-w50_seed312945035.json,alpha_0p1,Case7,312945035,10,50,35.023,36.184,0.074,2.381,0.186,6.175,8.742,58.0,13.074
Case7_alpha_0p1_t10-w50_seed731936390.json,alpha_0p1,Case7,731936390,10,50,34.783,39.424,0.135,2.836,0.068,6.596,9.5,61.0,12.076
Case8_alpha_0p1_t30-w2_seed1343216877.json,alpha_0p1,Case8,1343216877,30,2,38.651,42.303,0.071,3.31,7.694,5.415,16.419,70.0,11.278
Case8_alpha_0p1_t30-w2_seed1619340970.json,alpha_0p1,Case8,1619340970,30,2,41.238,44.223,0.067,3.33,0.191,6.403,9.924,67.0,12.853
Case8_alpha_0p1_t30-w2_seed1991307090.json,alpha_0p1,Case8,1991307090,30,2,42.313,44.511,0.081,2.256,7.643,5.22,15.119,72.0,12.37
Case8_alpha_0p1_t30-w2_seed312945035.json,alpha_0p1,Case8,312945035,30,2,40.339,42.72,0.044,2.524,0.259,6.197,8.98,66.0,14.3
