case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
Case10_thermal0_wirelength2,121,61,60,117198.988102,11.098389,92.988813,114.870000,2024.063128,46.569649,43.463139,243.861000,15.287000,
Case10_thermal0p01_wirelength2,121,61,60,172703.457110,16.354494,91.256240,108.800000,2120.854431,46.954786,45.168014,244.441000,14.559000,
Case10_thermal0p03_wirelength2,121,61,60,90806.588324,8.599109,93.338826,116.980000,2098.534251,45.029822,46.603210,243.521000,14.482000,
Case10_thermal0p1_wirelength2,121,61,60,45728.014796,4.330304,95.812468,122.710000,1834.940626,40.978248,44.778406,240.012000,15.221000,
Case10_thermal0p3_wirelength2,121,61,60,64862.045282,6.142239,95.042803,121.950000,1789.705611,44.906592,39.853962,243.601000,15.581000,
Case10_thermal10_wirelength50,121,61,60,191322.427174,18.117654,91.423330,112.260000,2261.913073,47.671574,47.447837,244.511000,14.416000,
Case10_thermal1_wirelength2,121,61,60,81742.781580,7.740794,96.631267,120.180000,1655.227630,38.001387,43.557032,243.889000,15.361000,
Case10_thermal3_wirelength2,121,61,60,135614.118080,12.842246,95.164983,114.370000,1880.735631,43.035397,43.702063,242.545000,15.206000,
Case6_thermal0p01_wirelength50,121,20,20,304865.059928,27.065435,88.333660,107.570000,1724.058187,41.374446,41.669638,4.958000,15.842000,
Case6_thermal0p03_wirelength50,121,20,20,167667.782980,14.885279,88.466299,111.810000,1749.970957,41.363265,42.307370,5.173000,16.107000,
Case6_thermal0p3_wirelength50,121,20,20,245268.926808,21.774585,88.333057,104.760000,1701.802794,41.302653,41.203232,5.230000,16.296000,
Case6_thermal100_wirelength2,121,20,20,125819.426582,11.170049,87.514854,105.620000,1749.631371,43.228805,40.473739,5.166000,16.188000,
Case6_thermal1_wirelength2,121,20,20,151802.505054,13.476785,87.158179,107.000000,1875.177521,43.531594,43.076243,5.427000,15.755000,
Case6_thermal1_wirelength50,121,20,20,254948.712482,22.633941,86.408398,103.610000,1877.656111,42.306712,44.381991,5.224000,15.664000,
Case6_thermal30_wirelength2,121,20,20,210347.384156,18.674306,89.604832,105.520000,1573.699252,39.418178,39.923186,5.475000,16.276000,
Case6_thermal30_wirelength50,121,20,20,245526.467832,21.797449,86.870684,100.180000,1647.459912,41.800638,39.412315,5.527000,16.231000,
Case6_thermal3_wirelength50,121,20,20,283368.630046,25.157016,88.603350,108.950000,1724.333829,41.306068,41.745291,5.087000,13.897000,
Case7_thermal0_wirelength2,121,28,34,55892.695980,9.924129,70.896982,80.170000,502.530722,22.748188,22.091022,18.689000,18.034000,
Case7_thermal0_wirelength50,121,28,34,44330.387056,7.871162,70.612813,79.280000,511.312473,22.944320,22.284926,19.067000,17.675000,
Case7_thermal0p01_wirelength2,121,28,34,42543.540994,7.553896,70.977446,83.910000,510.099231,22.275310,22.899759,18.876000,18.147000,
Case7_thermal0p01_wirelength50,121,28,34,58761.980506,10.433590,69.781536,80.040000,565.443315,23.825607,23.732588,18.932000,16.989000,
Case7_thermal0p03_wirelength50,121,28,34,61802.194992,10.973401,69.876782,80.930000,549.929837,23.918639,22.991686,19.264000,17.057000,
Case7_thermal0p1_wirelength2,121,28,34,47698.611880,8.469214,70.345610,81.530000,528.480793,23.151507,22.827058,18.996000,17.712000,
Case7_thermal0p1_wirelength50,121,28,34,30997.974506,5.503902,72.589646,84.200000,450.874968,20.858734,21.615644,19.084000,18.466000,
Case7_thermal0p3_wirelength2,121,28,34,50567.555502,8.978614,71.008879,83.360000,515.722746,22.964927,22.456973,18.096000,15.856000,
Case7_thermal100_wirelength2,121,28,34,42126.935198,7.479925,70.794019,79.710000,496.257754,22.680670,21.880207,18.009000,17.552000,
Case7_thermal100_wirelength50,121,28,34,58886.642708,10.455725,70.144070,80.890000,528.816653,22.724657,23.270611,18.115000,17.214000,
Case7_thermal10_wirelength2,121,28,34,61009.439700,10.832642,70.562148,78.900000,515.368542,22.806591,22.597351,18.318000,17.404000,
Case7_thermal1_wirelength2,121,28,34,64561.707350,11.463371,70.667249,80.130000,488.221747,21.430503,22.781628,18.891000,17.302000,
Case7_thermal30_wirelength50,121,28,34,58118.009144,10.319249,69.789546,79.750000,555.825217,23.587391,23.564506,18.243000,16.404000,
