alpha,case,layout_name,layout_file,thermal_weight,wirelength_weight,candidate,seed,total_wirelength_mm,max_temp_C,bbox_area_mm2,wl_ratio_vs_AT,wl_ratio_vs_RL,temp_ratio_vs_AT,temp_ratio_vs_RL
0.1,Case10,Case10_thermal100_wirelength0,pareto_weight_sweep_seed121_legal_only_results/Case10/Case10_thermal100_wirelength0_seed121.json,100,0,46,121,190185,105.09,2299.9,1.3772,0.6835,1.0193,1.0042
0.1,Case6,Case6_thermal10_wirelength2,pareto_weight_sweep_seed121_legal_only_results/Case6/Case6_thermal10_wirelength2_seed121.json,10,2,39,121,117808,103.07,1929.54,1.7724,0.4290,0.9056,1.0859
0.1,Case7,Case7_thermal10_wirelength50,pareto_weight_sweep_seed121_legal_only_results/Case7/Case7_thermal10_wirelength50_seed121.json,10,50,40,121,55076.6,76.57,777.408,1.0121,0.8720,1.0157,0.9785
0.1,Case8,Case8_thermal30_wirelength2,pareto_weight_sweep_seed121_legal_only_results/Case8/Case8_thermal30_wirelength2_seed121.json,30,2,44,121,30734.3,81.55,439.482,1.1896,0.4787,1.0137,1.0548
0.1,Case9,Case9_thermal1_wirelength2,pareto_weight_sweep_seed121_legal_only_results/Case9/Case9_thermal1_wirelength2_seed121.json,1,2,29,121,107528,126.38,3817.68,0.6678,0.1883,1.0627,1.1150
0.1,acend910,acend910_thermal3_wirelength2,pareto_weight_sweep_seed121_legal_only_results/acend910/acend910_thermal3_wirelength2_seed121.json,3,2,34,121,16281.8,75.4,1435.67,0.3842,0.8784,1.0219,1.0026
0.1,cpu-dram,cpu-dram_thermal0p1_wirelength50,pareto_weight_sweep_seed121_legal_only_results/cpu-dram/cpu-dram_thermal0p1_wirelength50_seed121.json,0.1,50,20,121,171717,93.07,2823.54,0.9540,1.1829,0.9523,0.9208
0.1,hp11_m,hp11_m_thermal1_wirelength50,pareto_weight_sweep_seed121_legal_only_results/hp11_m/hp11_m_thermal1_wirelength50_seed121.json,1,50,30,121,334981,84.48,3547.9,2.4314,1.6373,0.8409,0.9673
0.1,multigpu,multigpu_thermal0p03_wirelength50,pareto_weight_sweep_seed121_legal_only_results/multigpu/multigpu_thermal0p03_wirelength50_seed121.json,0.03,50,15,121,147650,84.87,8163.4,1.4688,1.4041,0.9418,0.9386
0.1,syn1,syn1_thermal1_wirelength50,pareto_weight_sweep_seed121_legal_only_results/syn1/syn1_thermal1_wirelength50_seed121.json,1,50,30,121,134891,84.35,2466.85,1.1246,1.0944,0.9831,0.9983
0.1,syn4,syn4_thermal10_wirelength0,pareto_weight_sweep_seed121_legal_only_results/syn4/syn4_thermal10_wirelength0_seed121.json,10,0,36,121,252708,84.18,1202.23,1.2813,1.1503,1.0232,1.0097
0.1,xerox8_m,xerox8_m_thermal100_wirelength0p02,pareto_weight_sweep_seed121_legal_only_results/xerox8_m/xerox8_m_thermal100_wirelength0p02_seed121.json,100,0.02,47,121,182907,75.74,2569.79,0.8812,1.3679,0.9998,0.9519
0.2,Case10,Case10_thermal100_wirelength2,pareto_weight_sweep_seed121_legal_only_results/Case10/Case10_thermal100_wirelength2_seed121.json,100,2,49,121,59019.7,122.93,1659.09,0.4274,0.2121,1.1923,1.1747
0.2,Case6,Case6_thermal10_wirelength2,pareto_weight_sweep_seed121_legal_only_results/Case6/Case6_thermal10_wirelength2_seed121.json,10,2,39,121,117808,103.07,1929.54,1.7724,0.4290,0.9056,1.0859
0.2,Case7,Case7_thermal30_wirelength2,pareto_weight_sweep_seed121_legal_only_results/Case7/Case7_thermal30_wirelength2_seed121.json,30,2,44,121,44711.9,80.4,530.147,0.8216,0.7079,1.0665,1.0274
0.2,Case8,Case8_thermal30_wirelength2,pareto_weight_sweep_seed121_legal_only_results/Case8/Case8_thermal30_wirelength2_seed121.json,30,2,44,121,30734.3,81.55,439.482,1.1896,0.4787,1.0137,1.0548
0.2,Case9,Case9_thermal1_wirelength2,pareto_weight_sweep_seed121_legal_only_results/Case9/Case9_thermal1_wirelength2_seed121.json,1,2,29,121,107528,126.38,3817.68,0.6678,0.1883,1.0627,1.1150
0.2,acend910,acend910_thermal3_wirelength2,pareto_weight_sweep_seed121_legal_only_results/acend910/acend910_thermal3_wirelength2_seed121.json,3,2,34,121,16281.8,75.4,1435.67,0.3842,0.8784,1.0219,1.0026
