case,candidate,seed,thermal_weight,wirelength_weight,legalization_status,is_legal,legal_report,source,eval_input,eval_stem
Case10,1,121,0,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0_wirelength0_seed121.json,Case10_thermal0_wirelength0_seed121
Case10,2,121,0,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0_wirelength0p02_seed121.json,Case10_thermal0_wirelength0p02_seed121
Case10,3,121,0,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0_wirelength0p2_seed121.json,Case10_thermal0_wirelength0p2_seed121
Case10,5,121,0,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w50/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w50/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0_wirelength50_seed121.json,Case10_thermal0_wirelength50_seed121
Case10,6,121,0.01,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p01_wirelength0_seed121.json,Case10_thermal0p01_wirelength0_seed121
Case10,7,121,0.01,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p01_wirelength0p02_seed121.json,Case10_thermal0p01_wirelength0p02_seed121
Case10,8,121,0.01,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p01_wirelength0p2_seed121.json,Case10_thermal0p01_wirelength0p2_seed121
Case10,10,121,0.01,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w50/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w50/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p01_wirelength50_seed121.json,Case10_thermal0p01_wirelength50_seed121
Case10,12,121,0.03,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p03_wirelength0p02_seed121.json,Case10_thermal0p03_wirelength0p02_seed121
Case10,11,121,0.03,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p03_wirelength0_seed121.json,Case10_thermal0p03_wirelength0_seed121
