case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
Case10_thermal0_wirelength0,121,61,60,167331.291446,15.845766,92.163909,113.020000,2002.922967,46.201282,43.352108,122.758000,10.767000,
Case10_thermal0_wirelength0p02,121,61,60,163295.315336,15.463572,92.576406,112.530000,1979.151826,46.012695,43.013169,127.723000,11.747000,
Case10_thermal0_wirelength0p2,121,61,60,157195.026584,14.885893,91.915679,116.690000,1830.440176,47.801395,38.292610,124.412000,10.224000,
Case10_thermal0_wirelength50,121,61,60,150310.634544,14.233962,92.123577,117.230000,2057.995474,46.961001,43.823501,115.125000,9.809000,
Case10_thermal0p01_wirelength0,121,61,60,165535.425132,15.675703,93.019995,113.050000,1981.233985,45.264752,43.769907,130.203000,8.121000,
Case10_thermal0p01_wirelength0p02,121,61,60,158796.200572,15.037519,92.355637,113.020000,2001.892192,46.465059,43.083819,126.853000,8.656000,
Case10_thermal0p01_wirelength0p2,121,61,60,159415.805542,15.096194,91.970784,117.110000,1792.902972,47.699333,37.587590,122.000000,10.249000,
Case10_thermal0p01_wirelength50,121,61,60,227735.575134,21.565869,90.396975,112.770000,2370.360298,47.101168,50.324873,120.325000,12.317000,
Case10_thermal0p03_wirelength0,121,61,60,160049.390732,15.156192,92.924089,113.060000,1983.372021,45.494795,43.595581,112.931000,11.725000,
Case10_thermal0p03_wirelength0p02,121,61,60,156458.163436,14.816114,92.218850,112.890000,2030.264209,46.702021,43.472727,120.005000,12.185000,
Case10_thermal0p03_wirelength0p2,121,61,60,156382.208540,14.808921,91.900801,117.090000,1822.156278,47.810380,38.112148,131.978000,8.089000,
Case10_thermal0p03_wirelength50,121,61,60,144380.294766,13.672376,93.907263,117.670000,1973.305563,43.230276,45.646379,109.044000,9.513000,
Case10_thermal0p1_wirelength0,121,61,60,167816.955920,15.891757,92.116895,111.910000,2070.745258,46.153365,44.866615,100.566000,9.228000,
Case10_thermal0p1_wirelength0p02,121,61,60,163639.744676,15.496188,92.351951,113.140000,1959.132598,46.397685,42.224792,90.361000,9.468000,
Case10_thermal0p1_wirelength0p2,121,61,60,158468.929736,15.006527,93.845300,117.160000,1730.978186,45.603759,37.956919,91.099000,7.060000,
