case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
Case10,92,61,60,186512.240312,17.662144,90.846697,107.950000,2128.556692,46.719609,45.560242,106.542000,8.155000,
Case10,106,61,60,206868.160562,19.589788,92.594390,108.190000,2111.911977,45.845108,46.066245,103.207000,9.498000,
Case10,111,61,60,201876.870198,19.117128,92.321609,108.770000,1967.824421,45.611594,43.143075,103.520000,9.585000,
Case10,118,61,60,229546.559942,21.737364,90.140356,105.590000,2099.718393,47.559905,44.148919,101.509000,9.403000,
Case10,120,61,60,206663.720860,19.570428,90.672981,106.670000,2122.417836,47.403184,44.773740,105.735000,8.274000,
Case6,81,20,20,239083.441236,21.225448,83.589841,97.090000,2115.909513,46.030937,45.967118,2.697000,8.284000,
Case6,85,20,20,260543.428516,23.130631,81.560159,97.960000,2142.782368,43.016543,49.812984,2.537000,8.008000,
Case6,112,20,20,264045.566742,23.441545,82.240789,96.010000,2230.146564,47.248982,47.199886,2.699000,9.427000,
Case6,115,20,20,232565.752060,20.646817,82.554290,98.390000,2263.953896,46.590869,48.592223,2.775000,9.533000,
Case6,119,20,20,294785.039096,26.170547,81.768840,97.920000,2316.696911,46.961416,49.331922,2.813000,9.319000,
Case7,93,28,34,71802.334094,12.748994,67.137131,76.510000,623.050523,23.443772,26.576377,9.011000,8.997000,
Case7,102,28,34,75792.640300,13.457500,67.954368,76.430000,625.550935,24.604591,25.424155,9.075000,9.413000,
Case7,103,28,34,57234.214194,10.162325,67.182275,76.260000,608.783086,26.348551,23.104993,9.086000,10.065000,
Case7,109,28,34,70432.621932,12.505792,67.952927,77.630000,603.816980,23.693515,25.484483,9.295000,10.411000,
Case7,118,28,34,69783.382242,12.390515,68.393608,78.060000,599.720461,24.106020,24.878452,10.364000,9.152000,
Case8,90,36,42,66241.178826,11.234935,72.486492,79.540000,398.467172,20.545554,19.394326,19.876000,11.978000,
Case8,102,36,42,63329.787532,10.741144,71.209314,79.240000,442.785485,20.573224,21.522416,18.867000,11.522000,
Case8,105,36,42,59697.578220,10.125098,70.855615,78.930000,439.446866,20.102514,21.860294,19.825000,11.047000,
Case8,109,36,42,69190.812080,11.735212,70.727200,78.920000,444.932130,21.888041,20.327636,20.805000,10.495000,
Case8,115,36,42,53037.510124,8.995507,71.608179,79.800000,423.376881,19.781893,21.402243,19.810000,10.462000,
Case9,86,44,43,409717.617052,26.757943,97.353809,117.660000,3770.363864,59.998685,62.840775,34.302000,8.620000,
Case9,106,44,43,385971.267534,25.207110,98.614829,121.160000,3601.557322,57.036989,63.144240,34.760000,8.801000,
Case9,108,44,43,435002.903818,28.409281,97.341968,119.310000,3684.434543,62.880896,58.593862,35.786000,8.803000,
Case9,111,44,43,451513.991424,29.487591,97.729622,118.530000,3731.677259,62.977000,59.254605,35.721000,8.655000,
Case9,118,44,43,401138.626158,26.197664,98.249844,119.280000,3432.682341,61.165819,56.120925,35.456000,8.661000,
acend910,84,6,5,37507.309124,15.321613,63.103943,74.380000,1526.503778,40.707955,37.498906,0.056000,8.095000,
acend910,87,6,5,27956.037948,11.419950,62.799922,74.910000,1430.067973,32.928291,43.429766,0.073000,8.101000,
acend910,97,6,5,34867.243236,14.243155,62.584805,74.710000,1439.103861,32.905313,43.734696,0.059000,7.923000,
acend910,106,6,5,40110.662216,16.385074,64.236853,74.360000,1424.541741,37.902005,37.584865,0.056000,8.339000,
acend910,120,6,5,21176.562800,8.650557,62.922371,74.860000,1775.680474,40.817392,43.503036,0.055000,7.801000,
cpu-dram,90,8,8,170227.675336,16.623796,88.036267,107.950000,1106.023624,34.401460,32.150485,0.158000,9.752000,
cpu-dram,97,8,8,175832.074628,17.171101,86.247629,108.880000,985.978951,28.228380,34.928641,0.158000,9.662000,
cpu-dram,99,8,8,168578.593936,16.462753,85.296753,104.940000,1160.044382,35.172401,32.981666,0.153000,9.597000,
cpu-dram,103,8,8,113953.089192,11.128231,87.759016,108.150000,1073.822988,33.198060,32.345956,0.159000,8.974000,
cpu-dram,113,8,8,189438.278078,18.499832,87.410542,110.450000,973.386262,34.936209,27.861817,0.163000,9.568000,
hp11_m,83,11,22,236835.112188,20.558603,75.035212,96.560000,1464.495504,37.733531,38.811515,0.813000,8.386000,
hp11_m,85,11,22,205000.084912,17.795146,73.765708,94.770000,1691.033652,41.275009,40.969916,0.817000,7.981000,
hp11_m,94,11,22,242920.720560,21.086868,73.332229,91.650000,1594.042987,38.555569,41.344040,0.840000,8.273000,
hp11_m,115,11,22,304090.483146,26.396743,71.777163,88.500000,1731.200226,42.887852,40.365748,0.832000,7.747000,
hp11_m,118,11,22,227986.008120,19.790452,73.211506,90.890000,1751.622154,41.320928,42.390678,0.817000,7.838000,
multigpu,93,6,6,82419.682266,11.924144,79.920798,94.170000,1906.736298,41.380965,46.077618,0.069000,8.186000,
multigpu,96,6,6,118940.301854,17.207798,80.105198,94.910000,1754.303691,45.297568,38.728430,0.066000,8.026000,
multigpu,102,6,6,191374.499126,27.687283,80.743608,95.500000,1912.109697,44.913084,42.573556,0.068000,8.359000,
multigpu,105,6,6,96398.215532,13.946501,78.902915,94.050000,2051.291451,45.325996,45.256401,0.067000,8.146000,
multigpu,111,6,6,115492.212490,16.708943,79.706079,95.030000,1969.601345,42.288045,46.575843,0.070000,8.286000,
syn1,84,10,17,147670.059712,19.227872,77.174980,88.330000,1369.951170,34.602478,39.591129,0.533000,8.318000,
syn1,90,10,17,115560.030238,15.046879,78.558083,89.110000,1319.720686,35.056834,37.645176,0.535000,8.845000,
syn1,97,10,17,126019.621728,16.408805,77.154915,87.830000,1433.586729,36.261379,39.534810,0.536000,8.171000,
syn1,102,10,17,122048.062754,15.891675,77.224585,87.040000,1423.548325,37.664050,37.795944,0.521000,8.612000,
syn1,104,10,17,149990.933320,19.530069,76.971177,88.840000,1415.756201,39.550601,35.796073,0.516000,8.231000,
syn4,82,13,30,220750.861032,16.908001,76.348875,86.960000,1164.156863,32.396392,35.934769,1.615000,10.030000,
syn4,83,13,30,211996.475624,16.237475,77.259355,86.880000,1083.114873,34.656258,31.253082,1.735000,9.657000,
syn4,90,13,30,236196.631224,18.091041,76.233132,86.070000,1204.386112,35.561266,33.867920,1.746000,9.211000,
syn4,96,13,30,200641.467912,15.367759,77.114675,88.230000,1166.278632,33.368756,34.951217,1.630000,9.566000,
syn4,100,13,30,193522.797468,14.822518,79.779797,88.860000,988.815722,31.498747,31.392224,1.939000,9.302000,
xerox8_m,82,8,16,136010.436878,13.622840,64.536982,77.480000,2304.909251,47.470685,48.554371,0.325000,8.989000,
xerox8_m,84,8,16,166586.391252,16.685336,63.617314,78.840000,2180.517857,51.060850,42.704300,1.402000,7.617000,
xerox8_m,92,8,16,194045.356032,19.435633,64.277461,80.890000,2013.531536,48.559326,41.465393,0.322000,7.491000,
xerox8_m,102,8,16,161865.577344,16.212498,65.937383,78.100000,1877.711287,43.981634,42.693077,0.315000,9.287000,
xerox8_m,120,8,16,221550.805276,22.190585,63.657507,78.910000,2157.944077,49.880482,43.262294,0.310000,9.057000,
