case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
Case10,61,61,60,173349.776296,16.415699,91.869343,106.650000,2086.869919,45.044247,46.329333,164.766000,11.968000,
Case10,62,61,60,241484.469042,22.867847,91.156489,109.620000,2087.932906,47.092300,44.337034,165.086000,11.403000,
Case10,63,61,60,200087.954814,18.947723,92.970740,113.970000,1880.273099,46.094380,40.791808,162.449000,11.761000,
Case10,64,61,60,219659.011644,20.801043,91.050811,106.080000,2005.431005,47.325285,42.375466,163.575000,11.454000,
Case10,65,61,60,202935.802110,19.217406,92.651865,117.970000,2124.679038,45.662594,46.529968,159.284000,11.533000,
Case10,66,61,60,221809.070718,21.004647,93.802783,116.040000,2008.719333,45.827402,43.832276,164.783000,11.724000,
Case10,67,61,60,224906.542570,21.297968,91.795142,110.230000,1992.210537,42.879746,46.460409,161.744000,11.577000,
Case10,68,61,60,188591.721106,17.859064,92.788901,115.320000,1985.774661,47.050941,42.204781,161.019000,11.746000,
Case10,69,61,60,199227.830766,18.866272,91.354504,108.710000,2124.157855,46.453651,45.726392,148.473000,10.987000,
Case10,70,61,60,190798.482280,18.068038,93.934272,112.390000,1966.912740,44.718723,43.984099,151.198000,11.549000,
Case10,71,61,60,175900.464952,16.657241,92.970786,111.040000,2005.332980,44.086770,45.486049,151.901000,11.596000,
Case10,72,61,60,222656.783794,21.084923,92.084932,110.030000,2078.090326,46.729904,44.470246,151.523000,11.355000,
Case10,73,61,60,179525.608744,17.000531,93.169922,112.110000,1924.860962,45.403949,42.394131,150.580000,11.556000,
Case6,61,20,20,259075.281898,23.000291,82.042954,101.310000,2037.246281,49.282576,41.338064,3.942000,10.298000,
Case6,62,20,20,261159.915122,23.185362,83.028623,98.290000,2146.881911,44.245415,48.522133,3.889000,10.257000,
Case6,63,20,20,223624.788474,19.853053,83.873379,105.050000,2272.288141,46.367070,49.006507,3.834000,10.549000,
Case6,64,20,20,311632.330348,27.666223,83.990876,101.640000,2112.198173,46.002389,45.914967,3.846000,10.844000,
Case6,65,20,20,275680.282378,24.474457,84.182017,108.570000,2011.177673,41.951091,47.941010,3.980000,10.662000,
Case6,66,20,20,240723.155302,21.371019,82.942163,102.270000,2195.349637,48.425365,45.334705,3.849000,10.532000,
Case6,67,20,20,286903.039720,25.470795,84.157368,98.580000,2018.489018,46.130811,43.755767,3.687000,10.515000,
Case6,68,20,20,202046.454328,17.937363,86.192253,109.160000,1962.589158,42.390093,46.298298,3.806000,10.682000,
Case6,69,20,20,336034.673958,29.832624,82.508757,98.750000,2163.474238,44.429301,48.694762,3.757000,10.378000,
Case6,70,20,20,246506.483728,21.884453,85.756387,103.890000,1874.655479,45.010574,41.649224,3.669000,11.180000,
Case6,71,20,20,303631.986852,26.955965,82.161013,101.230000,2330.906048,47.812661,48.750812,3.659000,10.935000,
Case6,72,20,20,203043.340826,18.025865,83.962107,98.460000,2106.299998,46.442686,45.352674,3.659000,11.034000,
Case6,73,20,20,278976.072126,24.767052,82.993340,98.060000,2086.644333,43.199815,48.302159,3.853000,10.121000,
Case7,61,28,34,53357.813990,9.474044,68.461855,78.120000,638.645222,25.269679,25.273183,13.092000,11.788000,
Case7,62,28,34,56858.450776,10.095606,69.078181,79.010000,540.778609,22.005827,24.574337,13.212000,12.143000,
Case7,63,28,34,51244.186350,9.098755,68.929309,78.150000,597.930638,24.350476,24.555193,13.245000,12.267000,
Case7,64,28,34,73034.030074,12.967690,68.533862,78.760000,516.309932,20.465774,25.227970,14.455000,12.325000,
Case7,65,28,34,65758.473684,11.675865,68.834893,77.970000,601.435011,24.192502,24.860389,14.544000,12.499000,
Case7,66,28,34,73319.150288,13.018315,68.683984,76.860000,618.740612,24.777141,24.972236,14.853000,12.590000,
Case7,67,28,34,48103.894082,8.541174,68.417610,81.570000,609.392629,25.608565,23.796438,14.156000,12.093000,
Case7,68,28,34,52254.207202,9.278091,68.369399,80.000000,586.372280,23.332748,25.130871,14.441000,12.315000,
Case7,69,28,34,60701.308044,10.777931,67.332844,78.420000,599.100036,22.827885,26.244220,14.757000,11.783000,
Case7,70,28,34,60634.182798,10.766013,67.966453,78.780000,608.428766,23.627629,25.750733,13.202000,12.714000,
Case7,71,28,34,55489.421116,9.852525,69.239695,80.290000,574.935267,24.509459,23.457689,13.288000,12.876000,
Case7,72,28,34,75280.311840,13.366533,67.670776,77.050000,650.040440,25.954306,25.045572,13.091000,11.408000,
Case7,73,28,34,71786.008586,12.746095,68.313147,79.260000,631.418480,25.304218,24.953092,12.770000,11.685000,
Case8,61,36,42,55580.828082,9.426870,72.109036,81.570000,407.267734,20.965294,19.425806,27.762000,14.082000,
Case8,62,36,42,56040.214496,9.504785,71.062639,80.180000,419.173139,21.728162,19.291698,28.227000,14.112000,
Case8,63,36,42,52638.678588,8.927863,72.319353,80.900000,399.502765,19.244165,20.759683,27.948000,14.546000,
Case8,64,36,42,50072.563058,8.492633,72.127275,80.730000,423.522086,20.950246,20.215614,28.502000,13.926000,
Case8,65,36,42,66476.329356,11.274818,72.313474,80.850000,382.293116,20.691461,18.475888,28.185000,14.429000,
Case8,66,36,42,49272.087816,8.356867,71.617537,80.970000,399.450099,21.284190,18.767456,28.140000,14.037000,
Case8,67,36,42,56776.422088,9.629651,71.351179,80.420000,431.290044,21.554879,20.008929,27.931000,12.904000,
Case8,68,36,42,67280.619184,11.411231,71.105210,80.060000,423.262477,21.647524,19.552466,27.136000,13.082000,
Case8,69,36,42,56342.495426,9.556054,73.305225,81.630000,396.587381,19.869608,19.959497,27.026000,14.972000,
Case8,70,36,42,51568.325122,8.746324,71.739531,80.750000,430.992584,21.202990,20.326972,27.861000,13.870000,
Case8,71,36,42,53426.366080,9.061460,70.728679,80.110000,446.518568,21.837579,20.447256,28.222000,13.475000,
Case8,72,36,42,62261.665366,10.559984,73.715530,82.380000,382.099776,19.191346,19.910004,27.519000,14.897000,
Case8,73,36,42,57595.471192,9.768567,72.446260,81.840000,404.710629,20.615817,19.631074,28.374000,14.223000,
Case9,61,44,43,433123.308352,28.286527,98.036987,121.480000,3679.103625,63.155566,58.254622,49.046000,10.691000,
Case9,62,44,43,406876.733830,26.572409,99.881821,123.750000,3610.814381,59.726865,60.455448,49.122000,10.762000,
Case9,63,44,43,462221.471100,30.186878,99.543909,121.330000,3653.009104,61.016924,59.868785,49.385000,10.973000,
Case9,64,44,43,400694.555696,26.168662,99.333274,125.180000,3620.382118,61.517347,58.851402,50.734000,11.568000,
Case9,65,44,43,444724.649930,29.044191,97.697070,117.250000,3261.655110,62.371740,52.293797,50.495000,11.651000,
Case9,66,44,43,404186.309266,26.396703,103.429099,127.970000,3162.186730,56.726577,55.744360,49.403000,11.762000,
Case9,67,44,43,380553.935358,24.853313,98.536980,122.090000,3611.982277,62.299948,57.977292,49.779000,11.256000,
Case9,68,44,43,376796.249840,24.607906,98.071641,126.150000,3355.089925,63.383461,52.933208,50.737000,11.578000,
Case9,69,44,43,421081.279558,27.500084,98.826028,121.170000,3772.070354,61.301521,61.533063,49.041000,11.300000,
Case9,70,44,43,351855.991900,22.979101,100.011665,119.600000,3440.445651,58.862968,58.448389,50.127000,11.475000,
Case9,71,44,43,363448.529520,23.736189,102.510681,128.500000,3351.425090,57.664091,58.119794,50.410000,11.832000,
Case9,72,44,43,446784.703030,29.178729,98.462837,123.330000,3402.801593,61.858117,55.009783,50.556000,12.363000,
Case9,73,44,43,304905.393266,19.912839,98.696965,120.110000,3729.456601,60.304264,61.843995,50.810000,12.585000,
acend910,61,6,5,33051.546850,13.501449,62.918845,74.580000,1652.248679,37.945417,43.542773,0.089000,9.966000,
acend910,62,6,5,25110.839424,10.257696,63.532810,75.030000,1650.223535,42.853687,38.508321,0.091000,10.126000,
acend910,63,6,5,18813.821872,7.685385,63.111277,75.130000,1806.291513,41.558836,43.463477,0.094000,10.218000,
acend910,64,6,5,29723.684456,12.142028,63.971721,74.770000,1588.778115,40.618508,39.114635,0.103000,10.065000,
acend910,65,6,5,23222.581194,9.486349,64.588630,75.140000,1497.641728,39.661600,37.760497,0.076000,10.333000,
acend910,66,6,5,20518.643314,8.381799,63.053606,75.190000,1646.123201,37.896433,43.437418,0.093000,10.251000,
acend910,67,6,5,31365.557286,12.812728,63.850835,74.670000,1658.186067,40.679866,40.761837,0.093000,10.255000,
acend910,68,6,5,22781.018798,9.305972,65.218196,75.250000,1414.605692,37.874047,37.350265,0.087000,10.636000,
acend910,69,6,5,18789.602542,7.675491,64.548892,75.520000,1310.812315,32.874004,39.873826,0.110000,10.777000,
acend910,70,6,5,31859.868256,13.014652,62.741240,74.490000,1429.967018,32.933002,43.420488,0.096000,10.279000,
acend910,71,6,5,26858.366498,10.971555,62.859426,74.810000,1310.198381,30.153147,43.451464,0.088000,10.584000,
acend910,72,6,5,28005.845290,11.440296,62.782578,74.830000,1596.111994,36.472786,43.761724,0.090000,10.565000,
acend910,73,6,5,26161.638478,10.686944,63.999802,74.970000,1607.661023,40.621924,39.576191,0.092000,10.820000,
cpu-dram,61,8,8,138725.611290,13.547423,87.234019,105.850000,1140.242498,33.601472,33.934302,0.244000,11.369000,
cpu-dram,62,8,8,116961.519628,11.422023,89.008894,108.850000,1014.595014,31.387108,32.325215,0.262000,11.713000,
