case,seed,config,n_chiplets,objective,profile,canvas_mm,canvas_overflow_mm,bbox_wh_mm,aspect_absdiff_mm,bbox_area_mm2,best_stage,wall_s,budget_s_total,gap_target,gap_hit,solved_at,proven_optimal,best_bound,obj_model,total_wirelength_mm,greedy_wirelength_mm,surrogate_gap,surrogate_proven_optimal
Case7,1,wl,28,wl,full,27.549672,0.0,52.6075,1.8675,691.015,iter2/TIME_LIMIT,3327.36,3300.0,0.05,False,2026-09-18 17:01,False,0.35238371,0.3809308,20618.615,58117.455,0.07494035,False
acend910,1,wl,6,wl,full,44.923337,0.0,80.77,3.57,1627.762,iter2/OPTIMAL,26.03,1800.0,0.05,True,2026-09-18 15:26,False,0.66087094,0.69021874,13789.24,24156.845,0.04251957,False
cpu-dram,1,wl,8,wl,full,35.994444,0.0,62.25,8.27,951.667,iter2/OPTIMAL,27.82,1800.0,0.05,True,2026-09-18 15:26,False,0.5599465,0.58019223,64984.76,122044.325,0.03489487,False
hp11_m,1,wl,11,wl,full,43.460382,0.0,77.4504,9.4704,1477.218,iter2/OPTIMAL,1221.92,3600.0,0.05,True,2026-09-18 15:46,False,0.58845274,0.61942014,78518.7532,174726.0,0.04999417,False
hp6_m,1,wl,6,wl,full,33.280857,0.0,54.28,11.98,700.699,iter2/OPTIMAL,3.59,1800.0,0.05,True,2026-09-18 15:26,False,0.16685613,0.16882762,2641.985,26324.12,0.0116775,False
hp8_m,1,wl,8,wl,full,40.53381,0.0,62.145,14.745,911.146,iter2/OPTIMAL,343.5,1800.0,0.05,True,2026-09-18 15:32,False,0.6976148,0.73424184,35813.445,67292.255,0.04988415,False
multigpu,1,wl,6,wl,full,47.292496,0.0,83.45,6.11,1731.643,iter2/OPTIMAL,7.0,1800.0,0.05,True,2026-09-18 15:26,False,0.5069171,0.52640146,65371.865,134110.045,0.03701425,False
syn1,1,wl,10,wl,full,40.988764,0.0,69.1425,7.0175,1182.86,iter2/OPTIMAL,1210.75,3600.0,0.05,True,2026-09-18 15:46,False,0.33356487,0.35070705,40906.375,135121.525,0.04887894,False
syn4,1,wl,13,wl,full,37.419514,0.0,63.06,0.54,994.068,iter2/TIME_LIMIT,3305.1,3300.0,0.05,False,2026-09-18 17:01,False,0.43917463,0.48258926,86610.985,206703.2,0.08996186,False
xerox6_m,1,wl,6,wl,full,39.452252,0.0,70.27,7.13,1221.759,iter2/OPTIMAL,178.74,1800.0,0.05,True,2026-09-18 15:29,False,0.45152449,0.46784805,34539.875,85991.12,0.03489071,False
xerox7_m,1,wl,7,wl,full,46.09928,0.0,75.675,4.345,1426.957,iter2/OPTIMAL,324.12,1800.0,0.05,True,2026-09-18 15:31,False,0.57648461,0.59709962,49029.635,107000.64,0.03452524,False
xerox8_m,1,wl,8,wl,full,51.503402,0.0,83.615,4.945,1741.754,iter2/OPTIMAL,661.25,1800.0,0.05,True,2026-09-18 15:37,False,0.70378454,0.74080891,96061.585,153338.745,0.0499783,False
