case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
Case10,1,61,60,282828.898664,26.783040,89.876855,104.770000,2357.743598,48.556602,48.556602,107.030000,12.165000,
Case10,2,61,60,235439.356532,22.295394,89.534382,104.330000,2312.773775,48.556602,47.630470,110.748000,12.299000,
Case10,3,61,60,292575.887842,27.706050,89.491326,104.450000,2338.990440,48.375848,48.350376,106.878000,13.815000,
Case10,4,61,60,277853.871088,26.311920,89.990422,105.950000,2357.743598,48.556602,48.556602,108.190000,13.635000,
Case10,5,61,60,302658.388310,28.660832,89.052153,103.750000,2357.743598,48.556602,48.556602,108.756000,13.385000,
Case6,1,20,20,288402.751768,25.603937,80.153333,94.790000,2577.342407,50.767533,50.767533,2.847000,13.376000,
Case6,2,20,20,287171.507972,25.494630,80.367156,94.230000,2451.580306,50.166702,48.868676,2.894000,11.881000,
Case6,3,20,20,256414.494810,22.764071,81.036299,96.220000,2483.726752,49.241351,50.439858,2.932000,11.257000,
Case6,4,20,20,254371.629258,22.582709,81.067024,95.250000,2419.871353,48.597624,49.794026,2.707000,12.161000,
Case6,5,20,20,286664.834468,25.449648,80.472061,94.100000,2473.684921,49.527754,49.945429,2.862000,11.556000,
Case7,1,28,34,61041.709298,10.838372,67.079375,78.690000,751.795037,27.288711,27.549672,10.754000,12.993000,
Case7,2,28,34,59137.162486,10.500206,67.097920,78.960000,745.044486,27.043679,27.549672,10.946000,14.074000,
Case7,3,28,34,68540.567900,12.169845,66.730161,76.900000,751.482504,27.409175,27.417188,11.330000,13.950000,
Case7,4,28,34,65210.115148,11.578501,66.914451,77.560000,725.485101,27.549672,26.333711,9.377000,14.448000,
Case7,5,28,34,61859.580230,10.983590,66.866118,79.160000,747.014921,27.549672,27.115202,9.402000,14.011000,
Case8,1,36,42,65315.452874,11.077926,69.215437,77.950000,560.618418,23.677382,23.677382,19.602000,14.697000,
Case8,2,36,42,60218.550106,10.213458,69.032234,77.130000,556.077712,23.677382,23.485608,20.830000,16.070000,
Case8,3,36,42,65263.777462,11.069162,68.932129,77.100000,559.835644,23.677382,23.644322,21.131000,15.982000,
Case8,4,36,42,67491.379164,11.446977,69.121973,77.490000,551.847199,23.407549,23.575608,20.143000,16.371000,
Case8,5,36,42,62711.282052,10.636242,69.078564,76.890000,556.077712,23.677382,23.485608,18.974000,16.782000,
Case9,1,44,43,594746.323420,38.841845,95.246272,113.520000,4181.098460,64.661414,64.661414,36.325000,13.835000,
Case9,2,44,43,582735.598336,38.057445,94.679385,112.140000,4181.098460,64.661414,64.661414,37.965000,14.066000,
Case9,3,44,43,547102.091770,35.730283,94.600024,113.510000,4181.098460,64.661414,64.661414,36.896000,13.826000,
Case9,4,44,43,613080.703704,40.039231,94.243201,112.520000,4181.098460,64.661414,64.661414,34.339000,14.254000,
Case9,5,44,43,517624.637380,33.805162,95.812493,115.050000,4181.098460,64.661414,64.661414,33.370000,14.020000,
acend910,1,6,5,19577.542562,7.997362,63.177588,75.180000,1781.594701,43.284436,41.160169,0.057000,12.718000,
acend910,2,6,5,18625.392544,7.608412,63.888577,75.130000,1660.188924,39.899369,41.609403,0.058000,12.856000,
acend910,3,6,5,17692.861952,7.227476,64.427847,75.290000,1541.300026,40.070435,38.464769,0.059000,13.930000,
acend910,4,6,5,18808.036380,7.683021,64.483989,75.220000,1577.417837,39.812469,39.621201,0.058000,14.090000,
acend910,5,6,5,17972.290984,7.341622,63.786187,75.220000,1677.917845,39.812469,42.145536,0.057000,13.285000,
cpu-dram,1,8,8,132058.271792,12.896316,84.598943,100.930000,1124.233766,32.366333,34.734666,0.166000,14.810000,
cpu-dram,2,8,8,159351.635852,15.561683,84.606912,101.460000,1130.501631,31.826389,35.520889,0.161000,14.049000,
cpu-dram,3,8,8,136566.912018,13.336613,83.388823,99.930000,1235.006922,35.785777,34.511111,0.176000,14.153000,
cpu-dram,4,8,8,127487.870228,12.449987,85.482002,102.540000,1137.000044,32.776333,34.689666,0.173000,14.518000,
cpu-dram,5,8,8,170343.848856,16.635141,84.034817,100.520000,1216.741250,35.769500,34.016166,0.162000,14.231000,
hp11_m,1,11,22,198632.861232,17.242436,71.990447,86.720000,1843.441617,42.800286,43.070778,0.918000,12.558000,
hp11_m,2,11,22,199698.101548,17.334905,72.156055,88.340000,1852.984409,43.460382,42.636174,0.939000,13.304000,
hp11_m,3,11,22,197961.740124,17.184179,71.845247,87.300000,1876.521900,43.177759,43.460382,0.869000,13.988000,
hp11_m,4,11,22,202949.067358,17.617107,72.107451,87.890000,1877.739616,43.205778,43.460382,0.859000,13.271000,
