shard,case,chiplets,canvas_side_mm,target_ratio,best_seed,rlplanner_cost,avg_wirelength,temperature,canvas_utilization,silicon_canvas_utilization,total_success_rate,executed_epochs,termination_reason,rl_solve_seconds,thermal_tables_seconds
shard2,acend910,6,44.923337,0.5,3,7.227476100890524,7.227476100890524,75.83764330992564,0.4999999982122921,0.4911882221340965,0.99971505543467,483,time_limit,3494.3285188259906,76.16802214394556
shard1,Case8,36,23.677382,0.5,2,10.250743621425846,10.21345815796472,80.1293703272994,0.49999998361280734,0.4441523714512011,1.0,15,time_limit,3509.5166927099926,75.5632245640154
shard1,Case7,28,27.549672,0.5,2,10.500206329545454,10.500206329545454,79.41110129666659,0.4999999820104454,0.46008849119441014,1.0,22,time_limit,3411.7170970219886,165.33157032501185
shard4,xerox8_m,8,51.503402,0.5,3,12.986999205781249,12.986999205781249,79.97278958199895,0.4999999966874759,0.4803554623449589,0.996232733361239,159,time_limit,3387.93504906405,182.55800079699839
shard4,syn4,13,37.419514,0.5,4,19.670883175849145,15.906519387910535,82.89006409232788,0.4999999900029298,0.45635684908353275,0.7816793893129771,69,time_limit,3333.9673817830044,237.03068076603813
shard4,syn1,10,40.988764,0.5,3,21.502851052504223,14.137913972947919,84.67888224044535,0.5000000076640169,0.477358569308227,0.942450914014895,121,time_limit,3340.1399400980445,231.1072033860255
shard3,hp11_m,11,43.460382,0.5,1,30.298149402166402,17.242436173090276,87.22025405706265,0.49999999905074255,0.4675223179883387,0.732605729877217,105,time_limit,3397.8799216590123,173.28083731001243
shard3,multigpu,6,47.292496,0.5,3,33.85929188726891,15.558831321296296,89.35736281839108,0.5000000049383393,0.4839788489100837,0.04777964907456736,600,epochs_complete,2889.9850158430054,72.8691256219754
shard1,Case6,20,50.767533,0.5,4,54.221584096803,22.582708877711287,94.25661416514183,0.49999999866023087,0.478011767741379,0.4391592920353982,106,time_limit,3502.626257368014,68.31315912201535
shard3,cpu-dram,8,35.994444,0.5,3,61.756718883073034,13.336612658484379,99.77760256350496,0.5000000004364248,0.46561438756294116,0.3341321044546851,468,time_limit,3514.757240900013,55.84947810001904
shard2,Case10,61,48.556602,0.5,2,84.60859158438112,22.295393605034093,104.01298694974949,0.5000000004694325,0.4758363042755424,0.3942307692307692,8,time_limit,3518.9163994169794,113.1729766529752
shard2,Case9,44,64.661414,0.5,2,125.7053057306274,38.05744509356844,111.21881398520033,0.499999992767523,0.4809740834874823,0.9491525423728814,11,time_limit,3484.293511304015,102.1087962469901
