method,case,pick,seed,n_chiplets,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2
FM,Case10,bestT,64,61,325625.02082,30.835703,91.19655,106.59,2060.355438
FM,Case10,bestWL,73,61,239390.455446,22.669551,92.675618,114.57,2079.357615
FM,Case6,bestT,67,20,309760.488038,27.500043,81.753862,97.48,2409.804061
FM,Case6,bestWL,79,20,246875.649612,21.917227,82.404429,106.11,2401.502337
FM,Case7,bestT,65,28,82669.562404,14.678544,67.314021,77.14,675.640755
FM,Case7,bestWL,67,28,65994.069038,11.717697,67.792432,80.46,688.224175
FM,Case8,bestT,65,36,82282.855692,13.955708,70.368401,78.96,472.396792
FM,Case8,bestWL,66,36,62183.540484,10.546733,70.597441,79.62,492.01089
FM,Case9,bestT,76,44,498714.5679,32.570178,96.761123,117.31,3720.854511
FM,Case9,bestWL,68,44,440075.187572,28.740543,99.439661,124.98,3633.257739
FM,acend910,bestT,76,6,48016.191974,19.614458,62.255027,73.65,1653.56288
FM,acend910,bestWL,69,6,20153.16952,8.232504,62.835815,75.04,1866.901847
FM,cpu-dram,bestT,62,8,140831.87547,13.753113,92.021038,110.53,846.243147
FM,cpu-dram,bestWL,62,8,140831.87547,13.753113,92.021038,110.53,846.243147
FM,hp11_m,bestT,74,11,218854.051972,18.997748,73.842971,95.89,1604.13424
FM,hp11_m,bestWL,77,11,160107.743454,13.898242,75.282993,101.94,1541.391669
FM,multigpu,bestT,61,6,93857.164418,13.578872,80.389746,97.01,1529.100554
FM,multigpu,bestWL,63,6,88225.133978,12.764053,82.900071,99.54,1661.702625
FM,syn1,bestT,80,10,152154.37026,19.811767,77.068503,85.76,1407.83145
FM,syn1,bestWL,76,10,98545.073338,12.83139,77.784192,93.04,1391.411313
FM,syn4,bestT,73,13,209715.312884,16.062754,77.303047,88.45,1150.92901
FM,syn4,bestWL,65,13,173400.875264,13.281317,76.255847,89.16,1198.56403
FM,syn6,bestT,80,15,431368.356352,21.062908,74.992502,85.67,1398.695547
FM,syn6,bestWL,79,15,305491.56838,14.91658,76.075845,90.49,1251.646644
FM,xerox8_m,bestT,67,8,220655.729448,22.100934,64.056006,79.27,2134.265523
FM,xerox8_m,bestWL,61,8,146224.141446,14.645848,64.331189,85.7,1964.441195
RL,Case10,,1,61,282828.898664,26.78304,89.876855,104.77,2357.743598
RL,Case10,,2,61,235439.356532,22.295394,89.534382,104.33,2312.773775
RL,Case10,,3,61,292575.887842,27.70605,89.491326,104.45,2338.99044
RL,Case10,,4,61,277853.871088,26.31192,89.990422,105.95,2357.743598
RL,Case10,,5,61,302658.38831,28.660832,89.052153,103.75,2357.743598
RL,Case6,,1,20,288402.751768,25.603937,80.153333,94.79,2577.342407
RL,Case6,,2,20,287171.507972,25.49463,80.367156,94.23,2451.580306
RL,Case6,,3,20,256414.49481,22.764071,81.036299,96.22,2483.726752
RL,Case6,,4,20,254371.629258,22.582709,81.067024,95.25,2419.871353
RL,Case6,,5,20,286664.834468,25.449648,80.472061,94.1,2473.684921
RL,Case7,,1,28,61041.709298,10.838372,67.079375,78.69,751.795037
RL,Case7,,2,28,59137.162486,10.500206,67.09792,78.96,745.044486
RL,Case7,,3,28,68540.5679,12.169845,66.730161,76.9,751.482504
RL,Case7,,4,28,65210.115148,11.578501,66.914451,77.56,725.485101
RL,Case7,,5,28,61859.58023,10.98359,66.866118,79.16,747.014921
RL,Case8,,1,36,65315.452874,11.077926,69.215437,77.95,560.618418
RL,Case8,,2,36,60218.550106,10.213458,69.032234,77.13,556.077712
RL,Case8,,3,36,65263.777462,11.069162,68.932129,77.1,559.835644
RL,Case8,,4,36,67491.379164,11.446977,69.121973,77.49,551.847199
RL,Case8,,5,36,62711.282052,10.636242,69.078564,76.89,556.077712
RL,Case9,,1,44,594746.32342,38.841845,95.246272,113.52,4181.09846
RL,Case9,,2,44,582735.598336,38.057445,94.679385,112.14,4181.09846
RL,Case9,,3,44,547102.09177,35.730283,94.600024,113.51,4181.09846
RL,Case9,,4,44,613080.703704,40.039231,94.243201,112.52,4181.09846
RL,Case9,,5,44,517624.63738,33.805162,95.812493,115.05,4181.09846
RL,acend910,,1,6,19577.542562,7.997362,63.177588,75.18,1781.594701
RL,acend910,,2,6,18625.392544,7.608412,63.888577,75.13,1660.188924
RL,acend910,,3,6,17692.861952,7.227476,64.427847,75.29,1541.300026
RL,acend910,,4,6,18808.03638,7.683021,64.483989,75.22,1577.417837
RL,acend910,,5,6,17972.290984,7.341622,63.786187,75.22,1677.917845
RL,cpu-dram,,1,8,132058.271792,12.896316,84.598943,100.93,1124.233766
RL,cpu-dram,,2,8,159351.635852,15.561683,84.606912,101.46,1130.501631
RL,cpu-dram,,3,8,136566.912018,13.336613,83.388823,99.93,1235.006922
RL,cpu-dram,,4,8,127487.870228,12.449987,85.482002,102.54,1137.000044
RL,cpu-dram,,5,8,170343.848856,16.635141,84.034817,100.52,1216.74125
RL,hp11_m,,1,11,198632.861232,17.242436,71.990447,86.72,1843.441617
RL,hp11_m,,2,11,199698.101548,17.334905,72.156055,88.34,1852.984409
RL,hp11_m,,3,11,197961.740124,17.184179,71.845247,87.3,1876.5219
RL,hp11_m,,4,11,202949.067358,17.617107,72.107451,87.89,1877.739616
RL,hp11_m,,5,11,223745.516706,19.422354,71.692319,86.43,1888.804804
RL,multigpu,,1,6,106934.467524,15.470843,77.125063,90.11,2163.934312
RL,multigpu,,2,6,104759.50765,15.156179,77.916321,90.62,2056.870849
RL,multigpu,,3,6,107542.640688,15.558831,76.723945,89.9,2189.058492
RL,multigpu,,4,6,102115.544594,14.773661,77.411423,90.58,2183.479895
RL,multigpu,,5,6,104424.528258,15.107715,77.740249,90.89,2100.066325
RL,syn1,,1,10,131792.101932,17.16043,76.306956,85.11,1489.057636
RL,syn1,,2,10,137603.559738,17.91713,75.279595,83.43,1644.274212
RL,syn1,,3,10,108579.180112,14.137914,75.583938,84.89,1617.863323
RL,syn1,,4,10,121719.508472,15.848894,75.111133,84.12,1670.110184
RL,syn1,,5,10,116609.619906,15.183544,75.055703,84.93,1650.981987
RL,syn4,,1,13,236056.085744,18.080276,74.342632,83.36,1374.121831
RL,syn4,,2,13,230002.334584,17.6166,74.362756,83.26,1396.321102
RL,syn4,,3,13,232496.01441,17.807599,74.188284,82.32,1359.383476
RL,syn4,,4,13,207675.516588,15.906519,74.778313,83.11,1384.261054
RL,syn4,,5,13,192173.196582,14.719148,74.766323,84.81,1368.70325
RL,xerox8_m,,1,8,132309.201278,13.252124,64.287876,80.67,2374.788976
