case,n_chiplets,FM_bestT_total_wirelength_mm,FM_bestT_avg_wirelength_mm,FM_bestT_max_temp_C,FM_bestT_avg_temp_C,FM_bestT_bbox_area_mm2,FM_bestWL_total_wirelength_mm,FM_bestWL_avg_wirelength_mm,FM_bestWL_max_temp_C,FM_bestWL_avg_temp_C,FM_bestWL_bbox_area_mm2,RL_seed均值_total_wirelength_mm,RL_seed均值_avg_wirelength_mm,RL_seed均值_max_temp_C,RL_seed均值_avg_temp_C,RL_seed均值_bbox_area_mm2,AT_seed均值_total_wirelength_mm,AT_seed均值_avg_wirelength_mm,AT_seed均值_max_temp_C,AT_seed均值_avg_temp_C,AT_seed均值_bbox_area_mm2
Case10,61,325625.020820,30.835703,106.590000,91.196550,2060.355438,239390.455446,22.669551,114.570000,92.675618,2079.357615,278271.280487,26.351447,104.650000,89.589028,2344.999002,94358.193617,8.935435,116.486000,90.803465,2318.086580
Case6,20,309760.488038,27.500043,97.480000,81.753862,2409.804061,246875.649612,21.917227,106.110000,82.404429,2401.502337,274605.043655,24.378999,94.918000,80.619175,2481.241148,74835.407624,6.643768,101.744000,82.197075,2529.269187
Case7,28,82669.562404,14.678544,77.140000,67.314021,675.640755,65994.069038,11.717697,80.460000,67.792432,688.224175,63157.827012,11.214103,78.254000,66.937605,744.164410,35289.740197,6.265934,79.016000,66.910324,752.076160
Case8,36,82282.855692,13.955708,78.960000,70.368401,472.396792,62183.540484,10.546733,79.620000,70.597441,492.010890,64200.088332,10.888753,77.312000,69.076067,556.891337,34418.018338,5.837520,76.128000,68.290456,535.363805
Case9,44,498714.567900,32.570178,117.310000,96.761123,3720.854511,440075.187572,28.740543,124.980000,99.439661,3633.257739,571057.870922,37.294793,113.348000,94.916275,4181.098460,110644.080864,7.225972,115.424000,95.672397,4165.912345
acend910,6,48016.191974,19.614458,73.650000,62.255027,1653.562880,20153.169520,8.232504,75.040000,62.835815,1866.901847,18535.224884,7.571579,75.208000,63.952838,1647.683867,42380.112982,17.312138,73.784000,62.152600,2009.131450
cpu-dram,8,140831.875470,13.753113,110.530000,92.021038,846.243147,140831.875470,13.753113,110.530000,92.021038,846.243147,145161.707749,14.175948,101.076000,84.422299,1168.696723,179991.846481,17.577329,97.730000,81.330309,1288.411038
hp11_m,11,218854.051972,18.997748,95.890000,73.842971,1604.134240,160107.743454,13.898242,101.940000,75.282993,1541.391669,204597.457394,17.760196,87.336000,71.958304,1867.898469,137770.013287,11.959203,100.468000,74.007187,1616.687787
multigpu,6,93857.164418,13.578872,97.010000,80.389746,1529.100554,88225.133978,12.764053,99.540000,82.900071,1661.702625,105155.337743,15.213446,90.420000,77.383400,2138.681975,100525.506108,14.543621,90.110000,76.647627,2227.131679
syn1,10,152154.370260,19.811767,85.760000,77.068503,1407.831450,98545.073338,12.831390,93.040000,77.784192,1391.411313,123260.794032,16.049582,84.496000,75.467465,1614.457468,119945.755954,15.617937,85.798000,74.174203,1671.891185
syn4,13,209715.312884,16.062754,88.450000,77.303047,1150.929010,173400.875264,13.281317,89.160000,76.255847,1198.564030,219680.629582,16.826028,83.372000,74.487662,1376.558143,197232.270538,15.106638,82.268000,73.445695,1391.505028
xerox8_m,8,220655.729448,22.100934,79.270000,64.056006,2134.265523,146224.141446,14.645848,85.700000,64.331189,1964.441195,133711.059817,13.392534,79.568000,64.634330,2210.292020,207559.276193,20.789190,75.752000,61.938227,2642.309737
