case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
Case7,1,28,34,20618.615000,3.660976,66.645906,81.350000,691.015375,27.237500,25.370000,9.455000,7.762000,
acend910,1,6,5,13789.240000,5.632859,63.581467,75.430000,1627.762000,38.600000,42.170000,0.078000,9.859000,
cpu-dram,1,8,8,64984.760000,6.346168,89.057344,121.280000,951.667400,35.260000,26.990000,0.205000,10.600000,
hp11_m,1,11,22,78518.753248,6.815864,74.385254,102.340000,1477.218384,43.460382,33.990000,0.994000,9.753000,
hp6_m,1,6,5,2641.985000,1.032025,66.045603,91.770000,700.699500,21.150000,33.130000,0.081000,9.563000,
hp8_m,1,8,12,35813.445000,5.595851,68.846729,98.180000,911.146500,38.445000,23.700000,0.314000,9.454000,
multigpu,1,6,6,65371.865000,9.457735,82.510828,102.770000,1731.642600,44.780000,38.670000,0.097000,10.705000,
syn1,1,10,17,40906.375000,5.326351,79.133975,101.700000,1182.860000,31.062500,38.080000,0.645000,10.234000,
syn4,1,13,30,86610.985000,6.633807,80.414043,96.870000,994.068000,31.800000,31.260000,1.702000,9.499000,
xerox6_m,1,6,8,34539.875000,6.132790,63.259231,79.200000,1221.759000,38.700000,31.570000,0.103000,9.787000,
xerox7_m,1,7,12,49029.635000,6.384067,66.102473,82.260000,1426.956650,40.010000,35.665000,0.195000,7.648000,
xerox8_m,1,8,16,96061.585000,9.621553,66.963184,85.660000,1741.753800,44.280000,39.335000,0.346000,7.682000,
