method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
ATPlace2.5D,acend910_wl00,1,43198.520920,2009.131450,73.730000,AT/50set.csv
ATPlace2.5D,acend910_wl01,1,43254.043536,2009.131450,73.730000,AT/50set.csv
ATPlace2.5D,acend910_wl02,1,44024.166816,2009.135574,73.760000,AT/50set.csv
ATPlace2.5D,acend910_wl03,1,43246.535274,2009.131450,73.720000,AT/50set.csv
ATPlace2.5D,acend910_wl04,1,44024.166816,2009.135574,73.760000,AT/50set.csv
ATPlace2.5D,acend910_wl05,1,42807.565552,2009.131450,73.820000,AT/50set.csv
ATPlace2.5D,acend910_wl06,1,43331.995000,2009.131450,73.730000,AT/50set.csv
ATPlace2.5D,acend910_wl07,1,43209.573176,2009.131450,73.740000,AT/50set.csv
ATPlace2.5D,acend910_wl08,1,43186.709264,2009.131450,73.740000,AT/50set.csv
ATPlace2.5D,acend910_wl09,1,41900.835254,2009.131450,73.840000,AT/50set.csv
ATPlace2.5D,acend910_wl10,1,42693.784468,2009.131450,73.720000,AT/50set.csv
ATPlace2.5D,acend910_wl11,1,42285.266460,2009.131450,73.750000,AT/50set.csv
ATPlace2.5D,acend910_wl12,1,42536.040900,2009.131450,73.780000,AT/50set.csv
ATPlace2.5D,acend910_wl13,1,41842.309176,2009.131450,73.770000,AT/50set.csv
ATPlace2.5D,acend910_wl14,1,44024.166816,2009.135574,73.760000,AT/50set.csv
ATPlace2.5D,acend910_wl15,1,42451.952910,2009.131450,73.790000,AT/50set.csv
ATPlace2.5D,acend910_wl16,1,42283.183828,2009.131450,73.750000,AT/50set.csv
ATPlace2.5D,acend910_wl17,1,42920.461632,2009.131450,73.820000,AT/50set.csv
ATPlace2.5D,acend910_wl18,1,42354.311998,2009.131450,73.820000,AT/50set.csv
ATPlace2.5D,acend910_wl19,1,41873.970740,2009.131450,73.810000,AT/50set.csv
ATPlace2.5D,acend910_wl20,1,36751.857846,1652.094932,74.250000,AT/50set.csv
ATPlace2.5D,acend910_wl21,1,34383.968702,1876.854289,74.250000,AT/50set.csv
ATPlace2.5D,acend910_wl22,1,32060.328004,2009.131450,74.420000,AT/50set.csv
ATPlace2.5D,acend910_wl23,1,30947.428854,1749.026069,74.600000,AT/50set.csv
ATPlace2.5D,acend910_wl24,1,29687.453604,1721.741073,74.720000,AT/50set.csv
ATPlace2.5D,acend910_wl25,1,29113.503032,1698.865260,74.700000,AT/50set.csv
ATPlace2.5D,acend910_wl26,1,29698.587602,1679.648554,74.690000,AT/50set.csv
ATPlace2.5D,acend910_wl27,1,33161.022656,1573.635000,74.500000,AT/50set.csv
ATPlace2.5D,acend910_wl28,1,30979.097888,1493.175946,74.700000,AT/50set.csv
ATPlace2.5D,acend910_wl29,1,28930.883486,1739.153460,74.660000,AT/50set.csv
ATPlace2.5D,acend910_wl30,1,28454.818640,1617.262404,74.800000,AT/50set.csv
ATPlace2.5D,acend910_wl31,1,28587.891820,1624.099353,74.790000,AT/50set.csv
ATPlace2.5D,acend910_wl32,1,30792.296834,1599.841098,74.630000,AT/50set.csv
ATPlace2.5D,acend910_wl33,1,28079.564508,1894.752382,74.660000,AT/50set.csv
ATPlace2.5D,acend910_wl34,1,26612.066916,1671.034630,74.950000,AT/50set.csv
ATPlace2.5D,acend910_wl35,1,27673.215912,1526.452791,74.880000,AT/50set.csv
ATPlace2.5D,acend910_wl36,1,27177.675906,1476.019994,74.980000,AT/50set.csv
ATPlace2.5D,acend910_wl37,1,25439.457340,1684.753260,75.010000,AT/50set.csv
ATPlace2.5D,acend910_wl38,1,25542.138700,1630.159154,75.040000,AT/50set.csv
ATPlace2.5D,acend910_wl39,1,24315.600028,1666.599898,75.090000,AT/50set.csv
ATPlace2.5D,acend910_wl40,1,25731.856264,1606.203143,75.040000,AT/50set.csv
ATPlace2.5D,acend910_wl41,1,28333.063586,1513.291673,74.900000,AT/50set.csv
ATPlace2.5D,acend910_wl42,1,27117.007164,1433.091385,75.000000,AT/50set.csv
ATPlace2.5D,acend910_wl43,1,27674.174208,1516.203801,74.950000,AT/50set.csv
ATPlace2.5D,acend910_wl44,1,22629.685086,1958.975482,74.790000,AT/50set.csv
ATPlace2.5D,acend910_wl45,1,28094.686604,1477.124575,74.940000,AT/50set.csv
ATPlace2.5D,acend910_wl46,1,26869.151456,1415.520951,75.010000,AT/50set.csv
ATPlace2.5D,acend910_wl47,1,24503.321532,1875.074355,74.740000,AT/50set.csv
ATPlace2.5D,acend910_wl48,1,25823.654682,1570.290417,75.040000,AT/50set.csv
ATPlace2.5D,acend910_wl49,1,27748.268890,1453.827736,74.910000,AT/50set.csv
RLPlanner,acend910,1,19577.542562,1781.594701,75.180000,RL/result.csv
RLPlanner,acend910,2,18625.392544,1660.188924,75.130000,RL/result.csv
RLPlanner,acend910,3,17692.861952,1541.300026,75.290000,RL/result.csv
RLPlanner,acend910,4,18808.036380,1577.417837,75.220000,RL/result.csv
RLPlanner,acend910,5,17972.290984,1677.917845,75.220000,RL/result.csv
