method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
ATPlace2.5D,cpu-dram_wl00,1,174027.089504,1288.416207,97.730000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl01,1,176453.054042,1288.413623,100.550000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl02,1,179340.665552,1288.418791,100.390000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl03,1,148844.231152,1288.413623,100.970000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl04,1,139997.175264,1274.055067,101.700000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl05,1,143409.082888,1276.416707,100.660000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl06,1,139272.804184,1288.421412,101.470000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl07,1,120622.387284,1150.678615,103.970000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl08,1,120322.955238,1199.061191,102.920000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl09,1,135678.553642,1276.414146,102.360000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl10,1,111492.815868,1054.548938,106.190000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl11,1,118598.915876,1138.269594,108.720000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl12,1,92826.402872,1024.477736,113.020000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl13,1,109204.167256,1032.412506,107.190000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl14,1,80163.363832,898.698446,119.850000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl15,1,100294.422556,993.005784,111.820000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl16,1,79250.022686,826.542853,119.490000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl17,1,100549.022054,1092.567731,113.000000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl18,1,98845.239770,1034.599020,115.210000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl19,1,86106.092482,988.181167,117.010000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl20,1,96077.901712,1036.876027,116.600000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl21,1,94942.099864,1008.768574,115.710000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl22,1,94185.070252,986.042069,116.750000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl23,1,96955.658274,1080.313319,113.280000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl24,1,90096.147174,1039.210676,115.870000,AT/50set.csv
ATPlace2.5D,cpu-dram_wl25,1,93700.191540,954.796920,116.850000,AT/50set.csv
