method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
ATPlace2.5D,hp11_m_wl00,1,120197.315164,1697.937166,100.290000,AT/50set.csv
ATPlace2.5D,hp11_m_wl01,1,114282.502526,1676.970385,100.160000,AT/50set.csv
ATPlace2.5D,hp11_m_wl02,1,141316.925640,1536.338541,98.020000,AT/50set.csv
ATPlace2.5D,hp11_m_wl03,1,271501.124556,1880.134131,87.540000,AT/50set.csv
ATPlace2.5D,hp11_m_wl04,1,234555.463988,1880.137903,88.990000,AT/50set.csv
ATPlace2.5D,hp11_m_wl05,1,151079.732240,1635.166439,94.050000,AT/50set.csv
ATPlace2.5D,hp11_m_wl06,1,140461.514702,1536.239445,98.500000,AT/50set.csv
ATPlace2.5D,hp11_m_wl07,1,213840.453758,1880.130359,92.170000,AT/50set.csv
ATPlace2.5D,hp11_m_wl08,1,137472.211090,1521.211874,98.710000,AT/50set.csv
ATPlace2.5D,hp11_m_wl09,1,143500.020814,1508.429913,96.590000,AT/50set.csv
ATPlace2.5D,hp11_m_wl10,1,153205.869618,1880.126586,99.660000,AT/50set.csv
ATPlace2.5D,hp11_m_wl11,1,150250.534242,1880.130359,92.940000,AT/50set.csv
ATPlace2.5D,hp11_m_wl12,1,132659.921910,1840.663189,97.190000,AT/50set.csv
ATPlace2.5D,hp11_m_wl13,1,153847.284530,1880.130315,99.160000,AT/50set.csv
ATPlace2.5D,hp11_m_wl14,1,150765.226296,1880.122814,97.710000,AT/50set.csv
ATPlace2.5D,hp11_m_wl15,1,119267.675392,1740.702599,99.590000,AT/50set.csv
ATPlace2.5D,hp11_m_wl16,1,110992.945752,1641.688965,100.130000,AT/50set.csv
ATPlace2.5D,hp11_m_wl17,1,114062.471292,1710.693225,100.190000,AT/50set.csv
ATPlace2.5D,hp11_m_wl18,1,119489.958422,1670.197017,98.630000,AT/50set.csv
ATPlace2.5D,hp11_m_wl19,1,108657.052370,1676.658364,100.460000,AT/50set.csv
ATPlace2.5D,hp11_m_wl20,1,111380.497974,1684.874505,99.480000,AT/50set.csv
ATPlace2.5D,hp11_m_wl21,1,120445.142986,1656.800005,100.770000,AT/50set.csv
ATPlace2.5D,hp11_m_wl22,1,133647.347552,1808.944781,102.670000,AT/50set.csv
ATPlace2.5D,hp11_m_wl23,1,122216.587990,1695.401407,97.810000,AT/50set.csv
ATPlace2.5D,hp11_m_wl24,1,115972.683682,1736.587084,99.820000,AT/50set.csv
ATPlace2.5D,hp11_m_wl25,1,143305.022016,1851.648552,96.640000,AT/50set.csv
ATPlace2.5D,hp11_m_wl26,1,120587.010858,1515.539578,99.540000,AT/50set.csv
ATPlace2.5D,hp11_m_wl27,1,122492.659152,1517.559459,99.880000,AT/50set.csv
ATPlace2.5D,hp11_m_wl28,1,127021.732516,1531.278586,98.720000,AT/50set.csv
ATPlace2.5D,hp11_m_wl29,1,142623.632096,1828.722073,97.410000,AT/50set.csv
ATPlace2.5D,hp11_m_wl30,1,108900.242552,1708.301620,100.410000,AT/50set.csv
ATPlace2.5D,hp11_m_wl31,1,107389.311068,1672.149579,99.440000,AT/50set.csv
ATPlace2.5D,hp11_m_wl32,1,110335.901020,1664.640949,99.100000,AT/50set.csv
ATPlace2.5D,hp11_m_wl33,1,116480.400120,1651.056660,99.740000,AT/50set.csv
ATPlace2.5D,hp11_m_wl34,1,128438.264184,1528.137621,98.610000,AT/50set.csv
ATPlace2.5D,hp11_m_wl35,1,136029.177284,1880.126586,99.410000,AT/50set.csv
ATPlace2.5D,hp11_m_wl36,1,107285.759254,1725.504835,98.950000,AT/50set.csv
