method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
ATPlace2.5D,multigpu_wl00,1,105715.400424,2227.131679,90.240000,AT/50set.csv
ATPlace2.5D,multigpu_wl01,1,105787.182688,2227.131679,90.240000,AT/50set.csv
ATPlace2.5D,multigpu_wl02,1,108005.295788,2227.131679,90.190000,AT/50set.csv
ATPlace2.5D,multigpu_wl03,1,105884.750988,2227.131679,90.240000,AT/50set.csv
ATPlace2.5D,multigpu_wl04,1,101850.810820,2227.131679,90.590000,AT/50set.csv
ATPlace2.5D,multigpu_wl05,1,95103.396960,2227.131679,91.020000,AT/50set.csv
ATPlace2.5D,multigpu_wl06,1,95248.093136,2227.131679,91.270000,AT/50set.csv
ATPlace2.5D,multigpu_wl07,1,95220.136928,2227.131679,91.260000,AT/50set.csv
ATPlace2.5D,multigpu_wl08,1,95077.707916,2227.131679,90.940000,AT/50set.csv
ATPlace2.5D,multigpu_wl09,1,95092.699692,2227.131679,91.020000,AT/50set.csv
ATPlace2.5D,multigpu_wl10,1,95240.328364,2227.131679,91.260000,AT/50set.csv
ATPlace2.5D,multigpu_wl11,1,95089.594924,2227.131679,91.020000,AT/50set.csv
ATPlace2.5D,multigpu_wl12,1,95095.290776,2227.131679,91.020000,AT/50set.csv
ATPlace2.5D,multigpu_wl13,1,95076.988044,2227.131679,91.030000,AT/50set.csv
ATPlace2.5D,multigpu_wl14,1,94364.501752,2210.712041,91.290000,AT/50set.csv
ATPlace2.5D,multigpu_wl15,1,95087.456196,2227.131679,91.030000,AT/50set.csv
ATPlace2.5D,multigpu_wl16,1,95216.898732,2227.131679,91.260000,AT/50set.csv
ATPlace2.5D,multigpu_wl17,1,89790.106464,2193.149306,95.790000,AT/50set.csv
ATPlace2.5D,multigpu_wl18,1,90036.501426,2227.131679,95.130000,AT/50set.csv
ATPlace2.5D,multigpu_wl19,1,90810.498204,2226.588587,95.100000,AT/50set.csv
ATPlace2.5D,multigpu_wl20,1,87878.522176,2184.055359,95.500000,AT/50set.csv
ATPlace2.5D,multigpu_wl21,1,91072.988864,2227.131679,94.570000,AT/50set.csv
ATPlace2.5D,multigpu_wl22,1,89609.942234,2227.131679,94.960000,AT/50set.csv
ATPlace2.5D,multigpu_wl23,1,87383.032046,2164.513765,96.360000,AT/50set.csv
ATPlace2.5D,multigpu_wl24,1,86971.502074,2181.656659,95.800000,AT/50set.csv
ATPlace2.5D,multigpu_wl25,1,87127.858072,2227.131679,96.550000,AT/50set.csv
ATPlace2.5D,multigpu_wl26,1,87685.645368,2200.387873,96.280000,AT/50set.csv
ATPlace2.5D,multigpu_wl27,1,85820.300904,2186.445707,94.110000,AT/50set.csv
ATPlace2.5D,multigpu_wl28,1,87380.351572,2201.945280,94.850000,AT/50set.csv
ATPlace2.5D,multigpu_wl29,1,74376.301732,2124.233868,100.120000,AT/50set.csv
ATPlace2.5D,multigpu_wl30,1,71809.824748,2122.727389,101.260000,AT/50set.csv
