method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
ATPlace2.5D,syn1_wl00,1,153341.441542,1671.894456,84.700000,AT/50set.csv
ATPlace2.5D,syn1_wl01,1,136699.315980,1671.894456,87.350000,AT/50set.csv
ATPlace2.5D,syn1_wl02,1,71370.202722,1653.485520,92.370000,AT/50set.csv
ATPlace2.5D,syn1_wl03,1,71734.296932,1658.702773,92.290000,AT/50set.csv
ATPlace2.5D,syn1_wl04,1,127471.272058,1671.891185,83.320000,AT/50set.csv
ATPlace2.5D,syn1_wl05,1,109342.711996,1671.894538,84.760000,AT/50set.csv
ATPlace2.5D,syn1_wl06,1,71297.177316,1653.259527,92.360000,AT/50set.csv
ATPlace2.5D,syn1_wl07,1,110201.490780,1671.891185,86.570000,AT/50set.csv
ATPlace2.5D,syn1_wl08,1,89632.288932,1671.894538,90.360000,AT/50set.csv
ATPlace2.5D,syn1_wl09,1,68347.713630,1609.403171,92.740000,AT/50set.csv
ATPlace2.5D,syn1_wl10,1,97804.964172,1671.894456,90.890000,AT/50set.csv
ATPlace2.5D,syn1_wl11,1,94123.787888,1671.894456,91.100000,AT/50set.csv
ATPlace2.5D,syn1_wl12,1,83670.241200,1671.894456,91.870000,AT/50set.csv
ATPlace2.5D,syn1_wl13,1,69589.239468,1558.280931,92.710000,AT/50set.csv
ATPlace2.5D,syn1_wl14,1,71271.571360,1671.897809,92.730000,AT/50set.csv
ATPlace2.5D,syn1_wl15,1,66543.849684,1606.939094,93.070000,AT/50set.csv
ATPlace2.5D,syn1_wl16,1,65560.207732,1607.224041,93.090000,AT/50set.csv
ATPlace2.5D,syn1_wl17,1,64810.247284,1602.736424,93.390000,AT/50set.csv
ATPlace2.5D,syn1_wl18,1,74512.248028,1671.897809,93.130000,AT/50set.csv
ATPlace2.5D,syn1_wl19,1,64596.786200,1607.833892,93.390000,AT/50set.csv
ATPlace2.5D,syn1_wl20,1,63387.795228,1573.436734,93.360000,AT/50set.csv
ATPlace2.5D,syn1_wl21,1,63409.936010,1671.894456,94.560000,AT/50set.csv
ATPlace2.5D,syn1_wl22,1,66943.953396,1581.901717,94.810000,AT/50set.csv
ATPlace2.5D,syn1_wl23,1,72195.771880,1569.324045,93.820000,AT/50set.csv
ATPlace2.5D,syn1_wl24,1,71574.613996,1596.308914,94.570000,AT/50set.csv
ATPlace2.5D,syn1_wl25,1,61710.201206,1581.851056,95.620000,AT/50set.csv
ATPlace2.5D,syn1_wl26,1,66043.775640,1660.851832,93.030000,AT/50set.csv
ATPlace2.5D,syn1_wl27,1,62715.510120,1570.431193,93.550000,AT/50set.csv
ATPlace2.5D,syn1_wl28,1,60631.440548,1431.937516,93.600000,AT/50set.csv
ATPlace2.5D,syn1_wl29,1,57843.439166,1671.894456,95.350000,AT/50set.csv
ATPlace2.5D,syn1_wl30,1,59906.277676,1571.469159,94.300000,AT/50set.csv
ATPlace2.5D,syn1_wl31,1,69706.638484,1608.373186,94.560000,AT/50set.csv
ATPlace2.5D,syn1_wl32,1,60325.460774,1456.242951,93.680000,AT/50set.csv
ATPlace2.5D,syn1_wl33,1,58456.546996,1671.901162,95.600000,AT/50set.csv
ATPlace2.5D,syn1_wl34,1,61725.912540,1565.135401,95.750000,AT/50set.csv
ATPlace2.5D,syn1_wl35,1,64307.577630,1581.891331,94.920000,AT/50set.csv
ATPlace2.5D,syn1_wl36,1,62855.298798,1494.537315,96.150000,AT/50set.csv
ATPlace2.5D,syn1_wl37,1,62096.031046,1650.092522,95.610000,AT/50set.csv
ATPlace2.5D,syn1_wl38,1,63885.375992,1555.773386,95.300000,AT/50set.csv
ATPlace2.5D,syn1_wl39,1,57511.277488,1671.897809,95.450000,AT/50set.csv
