case,method,n,front,hv,hv_ratio,igd,spacing
Case7,ATPlace2.5D,50,22,0.0159626,0.355113,0.0931646,0.00645377
Case7,RLPlanner,5,4,0.010346,0.230164,0.177008,0.0159175
Case7,MILP,1,1,0.0178715,0.397581,0.092397,nan
Case7,TW-FM,50,22,0.0449506,1,0.0337913,0.0261522
acend910,ATPlace2.5D,50,31,0.031894,0.67798,0.0505211,0.0225993
acend910,RLPlanner,5,4,0.0285355,0.606587,0.0415451,0.0068173
acend910,MILP,1,1,0.0259243,0.551079,0.0662913,nan
acend910,TW-FM,50,30,0.0470427,1,0.00189085,0.0461872
cpu-dram,ATPlace2.5D,50,28,0.0839422,0.874616,0.0223497,0.0139841
cpu-dram,RLPlanner,5,4,0.0367968,0.383396,0.172862,0.0589371
cpu-dram,MILP,1,1,0.0390566,0.406942,0.108081,nan
cpu-dram,TW-FM,50,28,0.095976,1,0.00725257,0.0455375
hp11_m,ATPlace2.5D,50,28,0.0459356,0.884527,0.016908,0.0278126
hp11_m,RLPlanner,5,3,0.0156411,0.301182,0.209865,0.0379842
hp11_m,MILP,1,1,0.0335825,0.646659,0.0556097,nan
hp11_m,TW-FM,50,23,0.0519324,1,0.0250211,0.0158481
hp6_m,ATPlace2.5D,50,27,0.076551,0.64488,0.0526191,0.0626163
hp6_m,RLPlanner,5,5,0.0567985,0.478481,0.144243,0.00908532
hp6_m,MILP,1,1,0.0605091,0.50974,0.0765103,nan
hp6_m,TW-FM,50,23,0.118706,1,0.0101835,0.0439961
multigpu,ATPlace2.5D,50,15,0.0188287,0.408372,0.0822442,0.0097076
multigpu,RLPlanner,5,5,0.0146186,0.317061,0.150469,0.00966342
multigpu,MILP,1,1,0.0217009,0.470667,0.0786491,nan
multigpu,TW-FM,50,27,0.0461067,1,0.00600493,0.0511614
syn1,ATPlace2.5D,50,26,0.0380652,0.590814,0.0461083,0.0216141
syn1,RLPlanner,5,4,0.0223956,0.347605,0.219451,0.00788635
syn1,MILP,1,1,0.0335061,0.520052,0.0941456,nan
syn1,TW-FM,50,12,0.0644284,1,0.0365038,0.0309535
syn4,ATPlace2.5D,50,26,0.0423752,0.894486,0.0403351,0.0128942
syn4,RLPlanner,5,3,0.01025,0.216364,0.282633,0.0204331
syn4,MILP,1,1,0.0300239,0.633766,0.0697504,nan
syn4,TW-FM,50,29,0.0473737,1,0.0642544,0.023729
xerox6_m,ATPlace2.5D,50,15,0.0512313,0.891948,0.0192873,0.0249994
xerox6_m,RLPlanner,5,5,0.039608,0.689583,0.044795,0.0302258
xerox6_m,MILP,1,1,0.0332902,0.57959,0.0828007,nan
xerox6_m,TW-FM,50,22,0.0574376,1,0.0141021,0.0239127
xerox7_m,ATPlace2.5D,50,15,0.0411473,0.689193,0.0702304,0.0176342
xerox7_m,RLPlanner,5,4,0.0464297,0.77767,0.0416737,0.0521432
xerox7_m,MILP,1,1,0.0439181,0.735602,0.0521962,nan
xerox7_m,TW-FM,50,15,0.0597036,1,0.0318157,0.0209983
xerox8_m,ATPlace2.5D,50,23,0.0687582,1,0.00228293,0.0386778
xerox8_m,RLPlanner,5,3,0.0399929,0.581645,0.0987708,0.0434147
xerox8_m,MILP,1,1,0.0345865,0.503016,0.0708451,nan
xerox8_m,TW-FM,50,12,0.0531383,0.772828,0.115252,0.0289638
