method,label,seed,src,total_wirelength_mm,bbox_area_mm2,max_temp_C
ATPlace2.5D,Case7_wl00,1,AT/50set.csv,60038.875096,753.489022,74.730000
ATPlace2.5D,Case7_wl01,1,AT/50set.csv,60211.444324,753.487512,75.100000
ATPlace2.5D,Case7_wl02,1,AT/50set.csv,60057.925890,753.490532,74.720000
ATPlace2.5D,Case7_wl03,1,AT/50set.csv,52892.571044,753.487512,75.540000
ATPlace2.5D,Case7_wl05,1,AT/50set.csv,52499.429560,753.490532,75.610000
ATPlace2.5D,Case7_wl09,1,AT/50set.csv,56559.712148,753.484493,75.610000
ATPlace2.5D,Case7_wl10,1,AT/50set.csv,56863.240112,753.484493,75.570000
ATPlace2.5D,Case7_wl15,1,AT/50set.csv,52390.046366,753.489022,75.730000
ATPlace2.5D,Case7_wl18,1,AT/50set.csv,49312.974396,753.489022,76.180000
ATPlace2.5D,Case7_wl19,1,AT/50set.csv,47902.799314,753.484493,76.740000
ATPlace2.5D,Case7_wl21,1,AT/50set.csv,48426.317588,753.484493,76.530000
ATPlace2.5D,Case7_wl24,1,AT/50set.csv,41870.796770,753.489022,76.820000
ATPlace2.5D,Case7_wl25,1,AT/50set.csv,43574.884398,753.490532,76.220000
ATPlace2.5D,Case7_wl30,1,AT/50set.csv,39101.212910,753.484493,76.960000
ATPlace2.5D,Case7_wl32,1,AT/50set.csv,37037.223442,753.484493,77.300000
ATPlace2.5D,Case7_wl35,1,AT/50set.csv,36726.392010,753.492042,77.460000
ATPlace2.5D,Case7_wl40,1,AT/50set.csv,36251.836294,753.484493,77.810000
ATPlace2.5D,Case7_wl41,1,AT/50set.csv,35266.465606,753.484493,77.920000
ATPlace2.5D,Case7_wl42,1,AT/50set.csv,33463.657298,753.484493,78.480000
ATPlace2.5D,Case7_wl46,1,AT/50set.csv,33104.203738,753.484493,78.510000
ATPlace2.5D,Case7_wl48,1,AT/50set.csv,30381.679188,748.713299,79.640000
ATPlace2.5D,Case7_wl49,1,AT/50set.csv,31298.941006,742.462972,79.170000
RLPlanner,Case7,3,RL/result.csv,68540.567900,751.482504,76.900000
RLPlanner,Case7,4,RL/result.csv,65210.115148,725.485101,77.560000
MILP,Case7,1,ILP/result.csv,20618.615000,691.015375,81.350000
TW-FM,Case7_t0-w0,347930200,newsweep_20260918 seed 347930200,55092.322870,639.010245,78.400000
TW-FM,Case7_t0-w2,347930200,newsweep_20260918 seed 347930200,65120.147506,511.219526,79.620000
TW-FM,Case7_t0-w50,347930200,newsweep_20260918 seed 347930200,73420.495702,676.371429,77.800000
TW-FM,Case7_t0p01-w0,347930200,newsweep_20260918 seed 347930200,57533.376374,636.644931,78.470000
TW-FM,Case7_t0p01-w50,1440521826,newsweep_20260918 seed 347930200,69608.354894,557.383532,78.620000
TW-FM,Case7_t0p03-w0p02,347930200,newsweep_20260918 seed 347930200,54614.336482,637.187870,79.570000
TW-FM,Case7_t0p03-w2,347930200,newsweep_20260918 seed 347930200,46494.641332,486.781104,79.640000
TW-FM,Case7_t0p1-w0,347930200,newsweep_20260918 seed 347930200,52516.472516,648.562573,78.530000
TW-FM,Case7_t0p3-w50,347930200,newsweep_20260918 seed 347930200,63873.153354,544.896638,78.790000
TW-FM,Case7_t1-w0p02,347930200,newsweep_20260918 seed 347930200,52589.336152,618.531409,79.580000
TW-FM,Case7_t1-w2,347930200,newsweep_20260918 seed 347930200,55383.932984,535.210589,79.080000
TW-FM,Case7_t1-w50,347930200,newsweep_20260918 seed 347930200,70286.600084,480.116916,79.210000
TW-FM,Case7_t10-w0p2,347930200,newsweep_20260918 seed 347930200,45724.665710,670.769560,79.900000
TW-FM,Case7_t10-w2,347930200,newsweep_20260918 seed 347930200,46159.100870,522.169796,79.620000
TW-FM,Case7_t100-w0,347930200,newsweep_20260918 seed 347930200,57174.834476,641.659917,78.260000
TW-FM,Case7_t100-w0p02,347930200,newsweep_20260918 seed 347930200,54343.846782,692.749514,78.360000
TW-FM,Case7_t100-w50,347930200,newsweep_20260918 seed 347930200,60854.435250,459.356939,79.980000
TW-FM,Case7_t3-w0p02,347930200,newsweep_20260918 seed 347930200,54633.061618,646.715898,79.260000
TW-FM,Case7_t3-w0p2,347930200,newsweep_20260918 seed 347930200,60523.270060,614.826349,78.550000
TW-FM,Case7_t3-w2,347930200,newsweep_20260918 seed 347930200,42098.408648,549.521850,81.070000
TW-FM,Case7_t3-w50,347930200,newsweep_20260918 seed 347930200,76955.683776,719.335909,76.080000
