method,label,seed,src,total_wirelength_mm,bbox_area_mm2,max_temp_C
ATPlace2.5D,acend910_wl10,1,AT/50set.csv,42693.784468,2009.131450,73.720000
ATPlace2.5D,acend910_wl13,1,AT/50set.csv,41842.309176,2009.131450,73.770000
ATPlace2.5D,acend910_wl16,1,AT/50set.csv,42283.183828,2009.131450,73.750000
ATPlace2.5D,acend910_wl20,1,AT/50set.csv,36751.857846,1652.094932,74.250000
ATPlace2.5D,acend910_wl21,1,AT/50set.csv,34383.968702,1876.854289,74.250000
ATPlace2.5D,acend910_wl22,1,AT/50set.csv,32060.328004,2009.131450,74.420000
ATPlace2.5D,acend910_wl23,1,AT/50set.csv,30947.428854,1749.026069,74.600000
ATPlace2.5D,acend910_wl27,1,AT/50set.csv,33161.022656,1573.635000,74.500000
ATPlace2.5D,acend910_wl28,1,AT/50set.csv,30979.097888,1493.175946,74.700000
ATPlace2.5D,acend910_wl29,1,AT/50set.csv,28930.883486,1739.153460,74.660000
ATPlace2.5D,acend910_wl32,1,AT/50set.csv,30792.296834,1599.841098,74.630000
ATPlace2.5D,acend910_wl42,1,AT/50set.csv,27117.007164,1433.091385,75.000000
ATPlace2.5D,acend910_wl44,1,AT/50set.csv,22629.685086,1958.975482,74.790000
ATPlace2.5D,acend910_wl46,1,AT/50set.csv,26869.151456,1415.520951,75.010000
ATPlace2.5D,acend910_wl49,1,AT/50set.csv,27748.268890,1453.827736,74.910000
RLPlanner,acend910,2,RL/result.csv,18625.392544,1660.188924,75.130000
RLPlanner,acend910,3,RL/result.csv,17692.861952,1541.300026,75.290000
RLPlanner,acend910,5,RL/result.csv,17972.290984,1677.917845,75.220000
MILP,acend910,1,ILP/result.csv,13789.240000,1627.762000,75.430000
TW-FM,acend910_thermal0p01_wirelength0,121,result_seed121_7case.csv,27821.880640,1571.634847,74.670000
TW-FM,acend910_thermal0p01_wirelength0p02,121,result_seed121_7case.csv,24279.812644,1494.303413,74.960000
TW-FM,acend910_thermal0p01_wirelength2,121,result_seed121_7case.csv,21455.441746,1436.100486,75.030000
TW-FM,acend910_thermal0p03_wirelength0p02,121,result_seed121_7case.csv,24213.762694,1494.345479,74.960000
TW-FM,acend910_thermal0p03_wirelength2,121,result_seed121_7case.csv,18636.936624,1442.259867,75.170000
TW-FM,acend910_thermal0p03_wirelength50,121,result_seed121_7case.csv,59232.863576,1744.244300,73.150000
TW-FM,acend910_thermal100_wirelength0p02,121,result_seed121_7case.csv,18898.145160,1236.949924,75.430000
TW-FM,acend910_thermal10_wirelength0,121,result_seed121_7case.csv,29062.944048,1626.759144,74.610000
TW-FM,acend910_thermal1_wirelength0,121,result_seed121_7case.csv,26463.314834,1572.134731,74.950000
TW-FM,acend910_thermal1_wirelength2,121,result_seed121_7case.csv,18642.481256,1467.153327,75.120000
TW-FM,acend910_thermal1_wirelength50,121,result_seed121_7case.csv,55566.874168,1520.540488,73.530000
TW-FM,acend910_thermal30_wirelength0p02,121,result_seed121_7case.csv,21167.321632,1652.453844,75.070000
TW-FM,acend910_thermal30_wirelength0p2,121,result_seed121_7case.csv,18669.768016,1234.003029,75.460000
TW-FM,acend910_thermal30_wirelength2,121,result_seed121_7case.csv,19289.801200,1431.327468,75.230000
TW-FM,acend910_thermal3_wirelength0,121,result_seed121_7case.csv,27574.321794,1592.947369,74.780000
TW-FM,acend910_thermal3_wirelength2,121,result_seed121_7case.csv,16281.751820,1435.666930,75.400000
TW-FM,acend910_thermal3_wirelength50,121,result_seed121_7case.csv,60040.339336,1733.482711,73.230000
TW-FM,acend910_t0p01-w2,1486441653,result_seed121_7case.csv,31990.543966,1589.907599,74.600000
TW-FM,acend910_t0p03-w0,946615675,result_seed121_7case.csv,20934.031192,1430.442963,75.160000
TW-FM,acend910_t0p03-w0,1486441653,result_seed121_7case.csv,25727.917600,1648.169025,74.720000
TW-FM,acend910_t0p1-w2,946615675,result_seed121_7case.csv,43221.086150,1484.136712,74.180000
TW-FM,acend910_t0p1-w2,1056634028,result_seed121_7case.csv,19853.230164,1345.441753,75.300000
TW-FM,acend910_t0p1-w2,1486441653,result_seed121_7case.csv,20341.777624,1204.975476,75.640000
TW-FM,acend910_t0p3-w0,1056634028,result_seed121_7case.csv,26567.904320,1467.821958,74.880000
TW-FM,acend910_t0p3-w0p2,946615675,result_seed121_7case.csv,19082.152452,1209.136598,75.530000
TW-FM,acend910_t10-w0p02,1056634028,result_seed121_7case.csv,24053.878306,1770.883557,74.730000
TW-FM,acend910_t10-w2,1056634028,result_seed121_7case.csv,28474.913190,1235.531733,75.270000
TW-FM,acend910_t10-w2,1486441653,result_seed121_7case.csv,41438.636258,1322.303906,74.320000
TW-FM,acend910_t100-w0,1056634028,result_seed121_7case.csv,26301.126798,1845.262563,74.660000
TW-FM,acend910_t100-w0,1486441653,result_seed121_7case.csv,27778.259360,1529.574136,74.790000
TW-FM,acend910_t100-w0p2,1056634028,result_seed121_7case.csv,17554.370144,1432.790868,75.320000
TW-FM,acend910_t100-w2,1056634028,result_seed121_7case.csv,19164.626840,1505.648416,75.080000
TW-FM,acend910_t100-w2,1486441653,result_seed121_7case.csv,24434.845492,1421.288154,75.180000
