method,label,seed,src,total_wirelength_mm,bbox_area_mm2,max_temp_C
ATPlace2.5D,hp11_m_wl02,1,AT/50set.csv,141316.925640,1536.338541,98.020000
ATPlace2.5D,hp11_m_wl05,1,AT/50set.csv,151079.732240,1635.166439,94.050000
ATPlace2.5D,hp11_m_wl06,1,AT/50set.csv,140461.514702,1536.239445,98.500000
ATPlace2.5D,hp11_m_wl08,1,AT/50set.csv,137472.211090,1521.211874,98.710000
ATPlace2.5D,hp11_m_wl09,1,AT/50set.csv,143500.020814,1508.429913,96.590000
ATPlace2.5D,hp11_m_wl11,1,AT/50set.csv,150250.534242,1880.130359,92.940000
ATPlace2.5D,hp11_m_wl12,1,AT/50set.csv,132659.921910,1840.663189,97.190000
ATPlace2.5D,hp11_m_wl16,1,AT/50set.csv,110992.945752,1641.688965,100.130000
ATPlace2.5D,hp11_m_wl18,1,AT/50set.csv,119489.958422,1670.197017,98.630000
ATPlace2.5D,hp11_m_wl23,1,AT/50set.csv,122216.587990,1695.401407,97.810000
ATPlace2.5D,hp11_m_wl25,1,AT/50set.csv,143305.022016,1851.648552,96.640000
ATPlace2.5D,hp11_m_wl26,1,AT/50set.csv,120587.010858,1515.539578,99.540000
ATPlace2.5D,hp11_m_wl28,1,AT/50set.csv,127021.732516,1531.278586,98.720000
ATPlace2.5D,hp11_m_wl29,1,AT/50set.csv,142623.632096,1828.722073,97.410000
ATPlace2.5D,hp11_m_wl31,1,AT/50set.csv,107389.311068,1672.149579,99.440000
ATPlace2.5D,hp11_m_wl32,1,AT/50set.csv,110335.901020,1664.640949,99.100000
ATPlace2.5D,hp11_m_wl33,1,AT/50set.csv,116480.400120,1651.056660,99.740000
ATPlace2.5D,hp11_m_wl34,1,AT/50set.csv,128438.264184,1528.137621,98.610000
ATPlace2.5D,hp11_m_wl36,1,AT/50set.csv,107285.759254,1725.504835,98.950000
ATPlace2.5D,hp11_m_wl39,1,AT/50set.csv,125931.164206,1656.321921,98.770000
ATPlace2.5D,hp11_m_wl40,1,AT/50set.csv,123166.044194,1512.430200,99.250000
ATPlace2.5D,hp11_m_wl42,1,AT/50set.csv,103020.237212,1652.128098,100.730000
ATPlace2.5D,hp11_m_wl44,1,AT/50set.csv,103489.266468,1778.312183,98.920000
ATPlace2.5D,hp11_m_wl47,1,AT/50set.csv,119333.431990,1672.048289,99.030000
ATPlace2.5D,hp11_m_wl49,1,AT/50set.csv,141533.714442,1713.617052,97.660000
RLPlanner,hp11_m,1,RL/result.csv,198632.861232,1843.441617,86.720000
RLPlanner,hp11_m,3,RL/result.csv,197961.740124,1876.521900,87.300000
RLPlanner,hp11_m,5,RL/result.csv,223745.516706,1888.804804,86.430000
MILP,hp11_m,1,ILP/result.csv,78518.753248,1477.218384,102.340000
TW-FM,hp11_m_thermal0_wirelength0,121,result_seed121_7case.csv,216793.541896,1822.484251,91.840000
TW-FM,hp11_m_thermal0_wirelength0p02,121,result_seed121_7case.csv,209965.085060,1726.334324,93.400000
TW-FM,hp11_m_thermal0p01_wirelength50,121,result_seed121_7case.csv,233390.552810,1489.865846,92.080000
TW-FM,hp11_m_thermal0p03_wirelength0,121,result_seed121_7case.csv,286956.391294,1712.783865,91.460000
TW-FM,hp11_m_thermal0p03_wirelength0p02,121,result_seed121_7case.csv,191074.184126,1552.893332,95.150000
TW-FM,hp11_m_thermal0p1_wirelength0,121,result_seed121_7case.csv,209073.884786,1703.814556,93.450000
TW-FM,hp11_m_thermal0p1_wirelength2,121,result_seed121_7case.csv,203765.284142,1436.848490,97.830000
TW-FM,hp11_m_thermal100_wirelength0p2,121,result_seed121_7case.csv,206248.045610,1486.818963,94.650000
TW-FM,hp11_m_thermal1_wirelength0p02,121,result_seed121_7case.csv,269989.935466,1772.254620,91.660000
TW-FM,hp11_m_thermal3_wirelength0p02,121,result_seed121_7case.csv,252404.862674,1789.940877,91.670000
TW-FM,hp11_m_thermal3_wirelength0p2,121,result_seed121_7case.csv,215485.593444,1485.160010,96.370000
TW-FM,hp11_m_t0p01-w50,1056634028,result_seed121_7case.csv,203845.434858,1839.770303,93.450000
TW-FM,hp11_m_t0p03-w0p02,946615675,result_seed121_7case.csv,182079.372192,1527.567606,95.850000
TW-FM,hp11_m_t0p03-w2,946615675,result_seed121_7case.csv,191441.597780,1492.246309,96.990000
TW-FM,hp11_m_t0p03-w2,1056634028,result_seed121_7case.csv,129471.371294,1380.918710,104.960000
TW-FM,hp11_m_t0p03-w2,1486441653,result_seed121_7case.csv,127065.383128,1454.864521,104.170000
TW-FM,hp11_m_t0p3-w0p2,946615675,result_seed121_7case.csv,169705.012386,1427.600446,98.790000
TW-FM,hp11_m_t0p3-w0p2,1056634028,result_seed121_7case.csv,174449.109774,1422.456664,98.050000
TW-FM,hp11_m_t1-w2,1056634028,result_seed121_7case.csv,109402.008084,1478.104254,102.330000
TW-FM,hp11_m_t10-w50,1056634028,result_seed121_7case.csv,229306.614392,1418.511575,94.610000
TW-FM,hp11_m_t100-w0p2,1056634028,result_seed121_7case.csv,176171.619624,1448.225270,97.820000
TW-FM,hp11_m_t3-w2,1056634028,result_seed121_7case.csv,130490.737752,1285.055372,100.740000
TW-FM,hp11_m_t30-w2,1056634028,result_seed121_7case.csv,158531.826088,1494.090992,100.340000
TW-FM,hp11_m_t30-w2,1486441653,result_seed121_7case.csv,176544.439286,1483.366954,97.420000
TW-FM,hp11_m_t30-w50,1486441653,result_seed121_7case.csv,219165.148406,1311.181863,97.420000
