method,label,seed,src,total_wirelength_mm,bbox_area_mm2,max_temp_C
ATPlace2.5D,multigpu_wl00,1,AT/50set.csv,105715.400424,2227.131679,90.240000
ATPlace2.5D,multigpu_wl04,1,AT/50set.csv,101850.810820,2227.131679,90.590000
ATPlace2.5D,multigpu_wl08,1,AT/50set.csv,95077.707916,2227.131679,90.940000
ATPlace2.5D,multigpu_wl13,1,AT/50set.csv,95076.988044,2227.131679,91.030000
ATPlace2.5D,multigpu_wl14,1,AT/50set.csv,94364.501752,2210.712041,91.290000
ATPlace2.5D,multigpu_wl37,1,AT/50set.csv,73656.255148,2075.989714,100.080000
ATPlace2.5D,multigpu_wl38,1,AT/50set.csv,69977.839632,2122.727389,98.910000
ATPlace2.5D,multigpu_wl43,1,AT/50set.csv,72609.104410,2113.631855,101.510000
ATPlace2.5D,multigpu_wl48,1,AT/50set.csv,68640.478194,2122.727389,102.300000
RLPlanner,multigpu,1,RL/result.csv,106934.467524,2163.934312,90.110000
RLPlanner,multigpu,2,RL/result.csv,104759.507650,2056.870849,90.620000
RLPlanner,multigpu,3,RL/result.csv,107542.640688,2189.058492,89.900000
RLPlanner,multigpu,4,RL/result.csv,102115.544594,2183.479895,90.580000
RLPlanner,multigpu,5,RL/result.csv,104424.528258,2100.066325,90.890000
MILP,multigpu,1,ILP/result.csv,65371.865000,1731.642600,102.770000
TW-FM,multigpu_thermal0_wirelength0,121,result_seed121_7case.csv seed 121,83797.805556,1845.304864,96.370000
TW-FM,multigpu_thermal0_wirelength0p02,121,result_seed121_7case.csv seed 121,77952.197682,1952.537432,96.410000
TW-FM,multigpu_thermal0_wirelength0p2,121,result_seed121_7case.csv seed 121,76525.501058,1720.730116,99.470000
TW-FM,multigpu_thermal0p01_wirelength0,121,result_seed121_7case.csv seed 121,83615.109128,1884.185316,96.060000
TW-FM,multigpu_thermal0p01_wirelength0p02,121,result_seed121_7case.csv seed 121,77960.363292,1951.628154,96.440000
TW-FM,multigpu_thermal0p01_wirelength2,121,result_seed121_7case.csv seed 121,85322.442954,1718.003106,99.930000
TW-FM,multigpu_thermal0p03_wirelength0,121,result_seed121_7case.csv seed 121,83814.991160,1848.393173,96.340000
TW-FM,multigpu_thermal0p03_wirelength0p02,121,result_seed121_7case.csv seed 121,77988.397274,1949.475601,96.470000
TW-FM,multigpu_thermal0p1_wirelength0,121,result_seed121_7case.csv seed 121,83250.772800,1892.847620,95.860000
TW-FM,multigpu_thermal0p1_wirelength0p02,121,result_seed121_7case.csv seed 121,77988.632428,1957.725347,96.370000
TW-FM,multigpu_thermal0p1_wirelength2,121,result_seed121_7case.csv seed 121,73376.352610,1487.457791,100.150000
TW-FM,multigpu_thermal0p3_wirelength0,121,result_seed121_7case.csv seed 121,85392.596880,1947.991280,95.280000
TW-FM,multigpu_thermal0p3_wirelength0p02,121,result_seed121_7case.csv seed 121,78306.446810,1999.816797,95.760000
TW-FM,multigpu_thermal0p3_wirelength0p2,121,result_seed121_7case.csv seed 121,112629.540248,1715.728369,97.870000
TW-FM,multigpu_thermal100_wirelength2,121,result_seed121_7case.csv seed 121,120687.384832,1377.522779,101.630000
TW-FM,multigpu_thermal10_wirelength0,121,result_seed121_7case.csv seed 121,80319.313898,2170.413860,93.850000
TW-FM,multigpu_thermal10_wirelength0p02,121,result_seed121_7case.csv seed 121,94764.385388,1784.379597,96.060000
TW-FM,multigpu_thermal10_wirelength0p2,121,result_seed121_7case.csv seed 121,127293.743150,1804.859539,94.640000
TW-FM,multigpu_thermal1_wirelength0,121,result_seed121_7case.csv seed 121,84934.947744,2026.809267,94.640000
TW-FM,multigpu_thermal1_wirelength0p02,121,result_seed121_7case.csv seed 121,80054.947942,2182.806844,93.950000
TW-FM,multigpu_thermal30_wirelength0,121,result_seed121_7case.csv seed 121,80760.858592,2147.284636,94.060000
TW-FM,multigpu_thermal30_wirelength0p02,121,result_seed121_7case.csv seed 121,79364.808544,2193.443541,93.560000
TW-FM,multigpu_thermal30_wirelength0p2,121,result_seed121_7case.csv seed 121,114482.295886,1957.213021,94.240000
TW-FM,multigpu_thermal30_wirelength50,121,result_seed121_7case.csv seed 121,100067.853504,1354.973058,102.770000
TW-FM,multigpu_thermal3_wirelength0p2,121,result_seed121_7case.csv seed 121,139515.424680,1707.380326,98.030000
TW-FM,multigpu_t100-w0p2,946615675,result_seed121_7case.csv seed 121,96143.544340,2124.011024,91.410000
TW-FM,multigpu_t3-w2,1056634028,result_seed121_7case.csv seed 121,74105.101892,1724.334868,97.410000
