method,label,seed,src,total_wirelength_mm,bbox_area_mm2,max_temp_C
ATPlace2.5D,syn1_wl03,1,AT/50set.csv,71734.296932,1658.702773,92.290000
ATPlace2.5D,syn1_wl04,1,AT/50set.csv,127471.272058,1671.891185,83.320000
ATPlace2.5D,syn1_wl05,1,AT/50set.csv,109342.711996,1671.894538,84.760000
ATPlace2.5D,syn1_wl06,1,AT/50set.csv,71297.177316,1653.259527,92.360000
ATPlace2.5D,syn1_wl08,1,AT/50set.csv,89632.288932,1671.894538,90.360000
ATPlace2.5D,syn1_wl09,1,AT/50set.csv,68347.713630,1609.403171,92.740000
ATPlace2.5D,syn1_wl10,1,AT/50set.csv,97804.964172,1671.894456,90.890000
ATPlace2.5D,syn1_wl11,1,AT/50set.csv,94123.787888,1671.894456,91.100000
ATPlace2.5D,syn1_wl12,1,AT/50set.csv,83670.241200,1671.894456,91.870000
ATPlace2.5D,syn1_wl13,1,AT/50set.csv,69589.239468,1558.280931,92.710000
ATPlace2.5D,syn1_wl15,1,AT/50set.csv,66543.849684,1606.939094,93.070000
ATPlace2.5D,syn1_wl16,1,AT/50set.csv,65560.207732,1607.224041,93.090000
ATPlace2.5D,syn1_wl20,1,AT/50set.csv,63387.795228,1573.436734,93.360000
ATPlace2.5D,syn1_wl26,1,AT/50set.csv,66043.775640,1660.851832,93.030000
ATPlace2.5D,syn1_wl28,1,AT/50set.csv,60631.440548,1431.937516,93.600000
ATPlace2.5D,syn1_wl29,1,AT/50set.csv,57843.439166,1671.894456,95.350000
ATPlace2.5D,syn1_wl30,1,AT/50set.csv,59906.277676,1571.469159,94.300000
ATPlace2.5D,syn1_wl32,1,AT/50set.csv,60325.460774,1456.242951,93.680000
ATPlace2.5D,syn1_wl39,1,AT/50set.csv,57511.277488,1671.897809,95.450000
ATPlace2.5D,syn1_wl40,1,AT/50set.csv,62678.060430,1506.110377,93.520000
ATPlace2.5D,syn1_wl41,1,AT/50set.csv,58547.247508,1595.479649,95.820000
ATPlace2.5D,syn1_wl43,1,AT/50set.csv,58826.230882,1617.955713,95.540000
ATPlace2.5D,syn1_wl44,1,AT/50set.csv,60325.341880,1431.937516,93.980000
ATPlace2.5D,syn1_wl45,1,AT/50set.csv,56855.744834,1595.479649,96.170000
ATPlace2.5D,syn1_wl49,1,AT/50set.csv,56813.498616,1595.492908,96.020000
RLPlanner,syn1,1,RL/result.csv,131792.101932,1489.057636,85.110000
RLPlanner,syn1,2,RL/result.csv,137603.559738,1644.274212,83.430000
RLPlanner,syn1,3,RL/result.csv,108579.180112,1617.863323,84.890000
RLPlanner,syn1,4,RL/result.csv,121719.508472,1670.110184,84.120000
MILP,syn1,1,ILP/result.csv,40906.375000,1182.860000,101.700000
TW-FM,syn1_thermal0_wirelength2,121,result_seed121_7case.csv seed 121,102209.735212,1297.370458,89.440000
TW-FM,syn1_thermal0p01_wirelength2,121,result_seed121_7case.csv seed 121,107699.487866,1261.684735,88.650000
TW-FM,syn1_thermal0p1_wirelength2,121,result_seed121_7case.csv seed 121,87151.714220,1207.080539,95.470000
TW-FM,syn1_thermal100_wirelength0p2,121,result_seed121_7case.csv seed 121,73975.991878,1244.113231,96.310000
TW-FM,syn1_thermal1_wirelength2,121,result_seed121_7case.csv seed 121,66790.041284,1120.025615,98.850000
TW-FM,syn1_thermal30_wirelength0p2,121,result_seed121_7case.csv seed 121,75270.794312,1222.131462,94.190000
TW-FM,syn1_thermal3_wirelength0p2,121,result_seed121_7case.csv seed 121,72438.091132,1276.229265,97.670000
TW-FM,syn1_thermal3_wirelength2,121,result_seed121_7case.csv seed 121,100561.983700,1062.799883,97.470000
TW-FM,syn1_t0-w0p2,946615675,result_seed121_7case.csv seed 121,113606.727548,1368.481808,87.750000
TW-FM,syn1_t0p3-w0p2,946615675,result_seed121_7case.csv seed 121,117146.443138,1433.160746,87.430000
TW-FM,syn1_t0p3-w0p2,1486441653,result_seed121_7case.csv seed 121,130688.394988,1036.397059,94.450000
TW-FM,syn1_t3-w2,1056634028,result_seed121_7case.csv seed 121,123267.402528,1154.129214,94.530000
