method,label,seed,src,total_wirelength_mm,bbox_area_mm2,max_temp_C
ATPlace2.5D,xerox7_m_wl01,1,AT/50set.csv,166201.848064,2113.627950,75.900000
ATPlace2.5D,xerox7_m_wl03,1,AT/50set.csv,153666.610244,2115.938084,75.930000
ATPlace2.5D,xerox7_m_wl04,1,AT/50set.csv,150131.746252,2115.933853,76.110000
ATPlace2.5D,xerox7_m_wl06,1,AT/50set.csv,64237.355482,1850.840771,78.910000
ATPlace2.5D,xerox7_m_wl11,1,AT/50set.csv,107818.466472,1975.035476,76.290000
ATPlace2.5D,xerox7_m_wl12,1,AT/50set.csv,101923.077304,1998.321462,76.230000
ATPlace2.5D,xerox7_m_wl13,1,AT/50set.csv,109243.310632,2034.295271,76.180000
ATPlace2.5D,xerox7_m_wl14,1,AT/50set.csv,70885.243214,1990.718637,77.500000
ATPlace2.5D,xerox7_m_wl15,1,AT/50set.csv,78544.577694,2005.355597,77.400000
ATPlace2.5D,xerox7_m_wl16,1,AT/50set.csv,97705.704094,2023.602947,76.270000
ATPlace2.5D,xerox7_m_wl17,1,AT/50set.csv,92719.654264,1916.005586,76.410000
ATPlace2.5D,xerox7_m_wl22,1,AT/50set.csv,65310.379948,1909.089300,78.760000
ATPlace2.5D,xerox7_m_wl23,1,AT/50set.csv,65954.413342,1902.525376,78.670000
ATPlace2.5D,xerox7_m_wl25,1,AT/50set.csv,62260.544464,1713.799668,79.590000
ATPlace2.5D,xerox7_m_wl35,1,AT/50set.csv,69352.070652,1819.591955,79.460000
RLPlanner,xerox7_m,1,RL/result.csv,90534.985000,1931.787900,78.650000
RLPlanner,xerox7_m,2,RL/result.csv,74142.255000,1492.856675,81.140000
RLPlanner,xerox7_m,3,RL/result.csv,70620.165000,1680.543375,79.020000
RLPlanner,xerox7_m,4,RL/result.csv,70205.720000,1593.117225,80.800000
MILP,xerox7_m,1,ILP/result.csv,49029.635000,1426.956650,82.260000
TW-FM,xerox7_m_t0-w2,946615675,result_seed3_4case.csv,90328.340820,1233.921440,81.000000
TW-FM,xerox7_m_t0p01-w0p2,946615675,result_seed3_4case.csv,98252.729938,1397.724442,79.850000
TW-FM,xerox7_m_t0p01-w0p2,1486441653,result_seed3_4case.csv,132262.066822,1377.932837,78.600000
TW-FM,xerox7_m_t0p01-w2,946615675,result_seed3_4case.csv,86462.406592,1276.963006,82.940000
TW-FM,xerox7_m_t0p03-w2,946615675,result_seed3_4case.csv,85370.468008,1302.121899,81.170000
TW-FM,xerox7_m_t0p1-w0p2,946615675,result_seed3_4case.csv,121466.902820,1466.681381,79.670000
TW-FM,xerox7_m_t0p3-w2,946615675,result_seed3_4case.csv,81362.873864,1340.310750,82.890000
TW-FM,xerox7_m_t0p3-w50,1056634028,result_seed3_4case.csv,114130.862874,1178.777936,81.640000
TW-FM,xerox7_m_t1-w2,946615675,result_seed3_4case.csv,118063.849988,1278.347355,79.960000
TW-FM,xerox7_m_t100-w0p2,1486441653,result_seed3_4case.csv,127487.257148,1571.757636,77.620000
TW-FM,xerox7_m_t100-w2,946615675,result_seed3_4case.csv,98346.430852,1311.866443,80.970000
TW-FM,xerox7_m_t100-w50,946615675,result_seed3_4case.csv,88367.760860,1540.496746,79.130000
TW-FM,xerox7_m_t3-w0,946615675,result_seed3_4case.csv,116717.979882,1748.468235,77.020000
TW-FM,xerox7_m_t3-w50,946615675,result_seed3_4case.csv,103306.241390,1228.798053,83.870000
TW-FM,xerox7_m_t3-w50,1486441653,result_seed3_4case.csv,82039.528428,1460.117515,80.200000
TW-FM,xerox7_m_t30-w0p2,1056634028,result_seed3_4case.csv,111799.296034,1480.844704,78.170000
