case,method,profile,n,total_wirelength_mm,max_temp_C,bbox_area_mm2,total_wirelength_mm_std,max_temp_C_std,bbox_area_mm2_std
Case10,AT,-,5,138094.04202,103.104,2348.058258,9482.247684,0.746679,0.015447
Case10,RL,-,5,278271.280487,104.65,2344.999002,25762.728132,0.814985,19.760075
Case10,FM,0p1_t100-w0,5,227048.727822,105.026,2322.825686,12068.134075912812,1.3466736798497256,33.78225133067858
Case10,FM,0p9_t100-w2,4,61071.9568585,119.5575,2030.4405029999998,10514.493486515208,1.920336342067882,90.12283939724522
Case6,AT,-,5,66469.259592,113.816,2164.699757,600.748174,0.31469,79.411026
Case6,RL,-,5,274605.043655,94.918,2481.241148,17564.299406,0.860854,59.043933
Case6,FM,0p1_t10-w2,5,127295.7281128,104.572,1883.9821518,19918.698088046003,5.5378940040416085,161.45632720415844
Case6,FM,0p9_t10-w2,3,141159.82077066667,103.64666666666666,2076.6823266666665,39666.10209841556,3.1192039582773856,116.64399757883271
Case7,AT,-,5,54417.915733,75.386,752.477216,15315.97489,2.581991,2.261623
Case7,RL,-,5,63157.827012,78.254,744.16441,3725.41703,0.977793,10.835099
Case7,FM,0p1_t10-w50,1,158922.083786,70.9,2279.226998,,,
Case7,FM,0p9_t30-w2,1,37143.571446,80.59,596.557765,,,
Case8,AT,-,5,25836.000192,80.448,453.063079,1519.980293,0.233174,5.353989
Case8,RL,-,5,64200.088332,77.312,556.891337,2796.303755,0.416797,3.511673
Case8,FM,0p1_t30-w2,2,34023.695527,81.255,404.1797775,15631.366261899853,0.04949747468306355,13.365487011935057
Case8,FM,0p9_t30-w2,4,31921.389736,81.2625,408.45266525,8810.200424476323,1.655080561986838,25.151072227963297
Case9,AT,-,5,161006.762376,118.92,4168.206212,3502.091889,0.383667,0.018288
Case9,RL,-,5,571057.870922,113.348,4181.09846,38381.051236,1.12888,0.0
Case9,FM,0p1_t1-w2,1,170344.69662,135.32,3487.749782,,,
Case9,FM,0p9_t1-w2,4,188976.4274845,131.81,3319.51116925,57992.72838015269,1.8160029368551904,194.56358344794742
acend910,AT,-,5,42380.112982,73.784,2009.13145,1562.043134,0.054129,0.0
acend910,RL,-,5,18535.224884,75.208,1647.683867,740.852945,0.058907,93.884794
acend910,FM,0p1_t3-w2,4,24286.928917,75.0925,1414.5267035,8774.043472272508,0.5114277400897751,136.53097290531406
acend910,FM,0p9_t3-w2,4,26060.987471,74.9325,1446.2044035,11338.252224422122,0.6878165937709498,127.7351900969921
cpu-dram,AT,-,5,179991.846481,97.73,1288.411038,12314.728698,0.036742,0.0
cpu-dram,RL,-,5,145161.707749,101.076,1168.696723,18664.333437,0.991781,52.786878
cpu-dram,FM,0p1_t0p1-w50,4,309966.053598,108.3575,2573.104151,104880.13751411554,13.915412019292376,2150.9731776733825
cpu-dram,FM,0p9_t0p1-w50,5,208728.44558,114.792,1418.4480350000001,89101.52163816438,10.795409672634014,1258.2883842017322
hp11_m,AT,-,5,137770.013287,100.468,1616.687787,18091.172106,1.146154,116.536808
hp11_m,RL,-,5,204597.457394,87.336,1867.898469,10874.031036,0.793177,18.900088
hp11_m,FM,0p1_t1-w50,5,289416.5376172,93.81,2700.0805128,58948.12109452405,4.097084329129678,785.411131214037
hp11_m,FM,0p9_t0p03-w2,1,124499.541552,102.28,1304.812048,,,
multigpu,AT,-,5,100525.506108,90.11,2227.131679,5282.767271,0.333691,0.0
multigpu,RL,-,5,105155.337743,90.42,2138.681975,2167.69604,0.404042,57.806912
multigpu,FM,0p1_t0p03-w50,2,117039.10545500001,100.61500000000001,1567.6577285,40213.23620074055,2.863782463805516,2.3999112229589334
multigpu,FM,0p9_t30-w0p02,5,111650.81483640001,96.264,2061.025851,21743.757319257344,3.4364487483447217,156.61549423322543
syn1,AT,-,5,119945.755954,85.798,1671.891185,5274.926218,0.193701,0.0
syn1,RL,-,5,123260.794032,84.496,1614.457468,11626.065632,0.70681,72.555188
syn1,FM,0p1_t1-w50,5,145711.8796176,89.298,1825.8046058,16799.873083334867,1.8535020906381474,502.7004310748538
syn1,FM,0p9_t30-w0p2,5,122241.083766,94.838,1159.505618,17796.473226735405,2.956834455968074,149.38657974390404
syn4,AT,-,5,197232.270538,82.268,1391.505028,33425.226242,3.210836,2.774887
syn4,RL,-,5,219680.629582,83.372,1376.558143,18971.747779,0.902203,14.252312
syn4,FM,0p1_t10-w0,5,219413.4671124,89.624,1238.2286676,20738.94126627489,3.5325104387673076,22.239107562510966
syn4,FM,0p9_t30-w0p2,5,169042.7808604,92.888,963.6996916,11736.50749879095,3.8950571240997216,67.36236035470252
xerox8_m,AT,-,5,207559.276193,75.752,2642.309737,6755.850315,0.364033,0.0
xerox8_m,RL,-,5,133711.059817,79.568,2210.29202,3061.670166,0.927615,152.040968
xerox8_m,FM,0p1_t100-w0p02,5,181953.2428764,78.378,2205.4513958,29865.040225477253,1.9175948477194027,412.8420237001768
xerox8_m,FM,0p9_t100-w0p02,5,173516.5033064,78.22200000000001,2199.9070904,13781.78874584914,1.7725461912175926,371.65717007452724
