case,n_seeds,total_time_mean_s,total_time_std_s,total_time_min_s,total_time_max_s,seed1_s,seed2_s,seed3_s,seed4_s,seed5_s
Case6,5,1005.813,7.301,998.715,1017.792,1017.792,1004.914,1006.125,998.715,1001.517
Case7,5,675.994,13.299,658.980,695.898,678.227,695.898,658.980,674.803,672.063
Case8,5,2052.811,40.492,2003.126,2108.192,2076.751,2108.192,2003.126,2035.699,2040.288
Case9,5,2247.723,35.978,2190.775,2277.069,2267.606,2233.579,2190.775,2277.069,2269.586
Case10,5,4711.384,662.527,3562.447,5256.307,3562.447,4952.280,4979.007,4806.877,5256.307
acend910,5,274.006,1.731,271.360,275.968,273.812,275.039,275.968,273.853,271.360
cpu-dram,5,297.321,1.304,296.213,299.391,296.213,297.609,296.234,299.391,297.159
hp11_m,5,382.827,7.707,375.175,393.791,386.245,382.964,375.175,375.962,393.791
multigpu,5,273.939,2.995,269.626,278.016,273.914,278.016,274.624,273.516,269.626
syn1,5,354.209,8.615,343.458,363.217,343.458,360.694,363.217,346.997,356.679
syn4,5,374.691,5.160,367.163,380.712,377.721,372.656,380.712,375.202,367.163
xerox8_m,5,362.217,4.585,357.565,367.575,367.575,359.707,366.712,357.565,359.526
