case,profile,n_seeds,seeds,sampling_mean_s,stage_a_mean_s,stage_b_mean_s,other_mean_s,legalize_total_mean_s,total_mean_s,total_std_s,total_min_s,total_max_s,seed1_sampling_s,seed1_stage_a_s,seed1_stage_b_s,seed1_total_s,canvas_multiple,source
Case6,alpha_0p9,1,61,82.344,2.913,61.724,0.502,65.139,146.981,,146.981,146.981,82.344,2.913,61.724,146.981,2,selected-pareto-cpu12
Case7,alpha_0p9,1,61,79.847,2.973,57.873,0.302,61.148,140.693,,140.693,140.693,79.847,2.973,57.873,140.693,2,selected-pareto-cpu12
Case8,alpha_0p9,1,61,82.76,1.964,64.827,0.284,67.075,149.551,,149.551,149.551,82.76,1.964,64.827,149.551,2,selected-pareto-cpu12
Case9,alpha_0p9,1,61,88.677,2.96,70.121,0.618,73.699,161.758,,161.758,161.758,88.677,2.96,70.121,161.758,2,selected-pareto-cpu12
Case10,alpha_0p9,1,61,91.605,5.332,98.549,0.63,104.511,195.486,,195.486,195.486,91.605,5.332,98.549,195.486,2,selected-pareto-cpu12
acend910,alpha_0p9,1,61,83.236,1.955,60.041,0.277,62.273,145.232,,145.232,145.232,83.236,1.955,60.041,145.232,2,selected-pareto-cpu12
cpu-dram,alpha_0p9,1,61,83.024,1.92,57.655,0.264,59.839,142.599,,142.599,142.599,83.024,1.92,57.655,142.599,2,selected-pareto-cpu12
hp6_m,alpha_0p9,1,61,84.971,1.995,80.87,0.321,83.186,167.836,,167.836,167.836,84.971,1.995,80.87,167.836,3.5,selected-pareto-new4b
hp8_m,alpha_0p9,1,61,81.894,2.038,63.887,0.277,66.202,147.819,,147.819,147.819,81.894,2.038,63.887,147.819,3,selected-pareto-new4b
hp11_m,alpha_0p9,1,61,83.824,1.917,66.73,0.272,68.919,152.471,,152.471,152.471,83.824,1.917,66.73,152.471,2,selected-pareto-cpu12
multigpu,alpha_0p9,1,61,68.496,1.937,68.184,1.939,72.06,138.617,,138.617,138.617,68.496,1.937,68.184,138.617,2,selected-pareto-cpu12
syn1,alpha_0p9,1,61,81.881,1.952,73.849,0.275,76.076,157.682,,157.682,157.682,81.881,1.952,73.849,157.682,2,selected-pareto-cpu12
syn4,alpha_0p9,1,61,82.597,1.952,65.65,0.281,67.883,150.199,,150.199,150.199,82.597,1.952,65.65,150.199,2,selected-pareto-cpu12
xerox6_m,alpha_0p9,1,61,77.725,1.969,98.504,0.272,100.745,178.198,,178.198,178.198,77.725,1.969,98.504,178.198,2,selected-pareto-new4b
xerox7_m,alpha_0p9,1,61,69.434,2.249,64.799,0.271,67.319,136.482,,136.482,136.482,69.434,2.249,64.799,136.482,2,selected-pareto-new4b
xerox8_m,alpha_0p9,1,61,74.055,2.062,45.523,0.278,47.863,121.64,,121.64,121.64,74.055,2.062,45.523,121.64,2,selected-pareto-cpu12
