case,profile,n_seeds,seeds,sampling_mean_s,stage_a_mean_s,stage_b_mean_s,other_mean_s,legalize_total_mean_s,total_mean_s,total_std_s,total_min_s,total_max_s,seed1_sampling_s,seed1_stage_a_s,seed1_stage_b_s,seed1_total_s,seed2_sampling_s,seed2_stage_a_s,seed2_stage_b_s,seed2_total_s,seed3_sampling_s,seed3_stage_a_s,seed3_stage_b_s,seed3_total_s,seed4_sampling_s,seed4_stage_a_s,seed4_stage_b_s,seed4_total_s,seed5_sampling_s,seed5_stage_a_s,seed5_stage_b_s,seed5_total_s,canvas_multiple,source
Case6,alpha_0p1,5,312945035;731936390;1343216877;1619340970;1991307090,36.811,1.254,5.315,5.914,12.483,43.38,2.483,40.314,46.896,37.808,1.32,3.411,42.539,35.773,1.601,5.174,42.548,32.931,0.962,6.421,40.314,39.81,1.506,5.58,46.896,37.731,0.88,5.991,44.602,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
Case6,alpha_0p9,5,312945035;731936390;1343216877;1619340970;1991307090,38.558,1.141,4.259,5.795,11.195,43.959,4.766,36.323,48.304,41.557,1.236,0.076,42.869,34.787,1.483,0.053,36.323,40.315,0.212,6.821,47.348,39.732,1.126,7.446,48.304,36.401,1.65,6.9,44.951,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
Case7,alpha_0p1,5,312945035;731936390;1343216877;1619340970;1991307090,35.495,3.006,2.084,6.162,11.251,40.585,4.687,36.847,47.656,35.023,2.381,0.186,37.59,34.783,2.836,0.068,37.687,36.66,6.397,0.086,43.143,33.578,3.176,0.093,36.847,37.433,0.238,9.985,47.656,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
Case7,alpha_0p9,5,312945035;731936390;1343216877;1619340970;1991307090,38.006,2.443,1.426,5.441,9.309,41.875,5.955,36.838,50.249,41.289,2.138,6.822,50.249,34.047,2.718,0.073,36.838,34.97,2.577,0.071,37.618,43.67,2.325,0.068,46.063,36.053,2.455,0.097,38.605,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
Case8,alpha_0p1,5,312945035;731936390;1343216877;1619340970;1991307090,40.273,2.794,3.18,5.735,11.708,46.246,4.524,41.483,52.212,40.339,2.524,0.259,43.122,38.824,2.548,0.111,41.483,38.651,3.31,7.694,49.655,41.238,3.33,0.191,44.759,42.313,2.256,7.643,52.212,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
Case8,alpha_0p9,5,312945035;731936390;1343216877;1619340970;1991307090,39.094,2.858,5.128,5.808,13.794,47.08,3.873,42.633,51.692,36.45,2.643,4.816,43.909,39.869,2.634,0.13,42.633,39.556,2.374,8.134,50.064,39.242,3.48,4.38,47.102,40.351,3.16,8.181,51.692,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
Case9,alpha_0p1,5,312945035;731936390;1343216877;1619340970;1991307090,40.299,4.89,1.709,5.4,12.0,46.899,5.657,42.788,56.63,40.049,4.404,0.107,44.56,38.733,4.74,0.119,43.592,43.059,5.855,7.716,56.63,38.838,3.844,0.106,42.788,40.815,5.609,0.499,46.923,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
Case9,alpha_0p9,5,312945035;731936390;1343216877;1619340970;1991307090,37.473,4.482,5.007,5.684,15.174,46.963,5.007,39.095,52.07,39.368,3.693,4.454,47.515,35.777,3.212,0.106,39.095,38.956,3.657,7.64,50.253,32.876,7.31,5.694,45.88,40.387,4.54,7.143,52.07,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
Case10,alpha_0p1,5,312945035;731936390;1343216877;1619340970;1991307090,41.66,10.144,10.419,5.668,26.231,62.223,13.513,51.548,82.75,43.543,28.739,10.468,82.75,38.932,19.158,11.011,69.101,38.888,0.96,12.023,51.871,44.189,0.472,11.186,55.847,42.749,1.391,7.408,51.548,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
Case10,alpha_0p9,5,312945035;731936390;1343216877;1619340970;1991307090,41.871,7.136,6.45,5.794,19.38,55.456,3.292,52.35,60.441,39.624,7.576,5.15,52.35,40.088,6.522,10.162,56.772,43.637,8.584,8.22,60.441,40.427,5.879,8.562,54.868,45.577,7.119,0.155,52.851,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
acend910,alpha_0p1,5,312945035;731936390;1343216877;1619340970;1991307090,36.722,0.834,6.343,5.6,12.777,43.9,2.495,40.026,46.036,37.741,1.232,7.063,46.036,38.833,1.105,0.088,40.026,34.024,0.275,8.769,43.068,35.2,0.92,9.884,46.004,37.814,0.638,5.912,44.364,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
acend910,alpha_0p9,5,312945035;731936390;1343216877;1619340970;1991307090,34.389,1.029,6.227,5.52,12.775,41.645,5.783,33.947,46.905,37.891,0.329,8.685,46.905,31.24,1.109,5.014,37.363,32.915,0.989,0.043,33.947,32.829,2.428,8.027,43.284,37.07,0.29,9.365,46.725,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
cpu-dram,alpha_0p1,5,312945035;731936390;1343216877;1619340970;1991307090,38.072,0.698,7.133,6.087,13.919,45.903,4.734,38.335,50.021,38.029,1.28,10.712,50.021,35.856,0.317,8.144,44.317,37.312,0.985,0.038,38.335,40.706,0.194,7.841,48.741,38.456,0.713,8.932,48.101,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
cpu-dram,alpha_0p9,5,312945035;731936390;1343216877;1619340970;1991307090,37.736,0.647,7.725,5.308,13.68,46.108,2.094,42.82,48.551,37.77,0.446,7.7,45.916,35.915,1.405,5.5,42.82,38.04,0.152,8.134,46.326,37.327,0.775,10.449,48.551,39.627,0.456,6.844,46.927,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
hp11_m,alpha_0p1,5,312945035;731936390;1343216877;1619340970;1991307090,35.351,0.56,8.456,5.941,14.957,44.367,3.326,41.107,49.744,31.877,0.344,10.02,42.241,33.895,0.633,6.579,41.107,34.857,0.218,8.993,44.068,35.813,1.436,7.425,44.674,40.312,0.17,9.262,49.744,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
hp11_m,alpha_0p9,5,312945035;731936390;1343216877;1619340970;1991307090,33.484,0.742,1.747,5.185,7.674,35.973,6.778,27.971,43.081,33.731,0.819,8.531,43.081,36.944,0.754,0.047,37.745,29.178,0.581,0.044,29.803,27.016,0.89,0.065,27.971,40.551,0.666,0.047,41.264,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
multigpu,alpha_0p1,5,312945035;731936390;1343216877;1619340970;1991307090,33.99,0.979,3.329,5.476,9.784,38.298,3.197,33.027,40.852,32.405,0.225,7.937,40.567,32.438,0.531,0.058,33.027,38.333,0.934,0.068,39.335,36.376,1.292,0.042,37.71,30.398,1.914,8.54,40.852,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
multigpu,alpha_0p9,5,312945035;731936390;1343216877;1619340970;1991307090,36.186,0.077,8.245,6.049,14.372,44.508,1.797,42.728,47.446,32.495,0.0,11.483,43.978,35.08,0.0,8.549,43.629,37.392,0.189,7.179,44.76,40.432,0.198,6.816,47.446,35.529,0.0,7.199,42.728,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
syn1,alpha_0p1,5,312945035;731936390;1343216877;1619340970;1991307090,36.53,0.858,8.531,6.041,15.43,45.919,4.825,38.315,51.421,35.374,0.18,9.747,45.301,37.694,0.542,8.348,46.584,30.333,1.271,6.711,38.315,43.283,0.877,7.261,51.421,35.968,1.418,10.588,47.974,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
syn1,alpha_0p9,5,312945035;731936390;1343216877;1619340970;1991307090,34.201,1.565,6.995,5.581,14.141,42.761,3.156,38.733,46.275,38.256,0.97,7.049,46.275,34.298,2.549,8.734,45.581,34.585,1.774,5.821,42.18,32.805,2.024,6.206,41.035,31.061,0.509,7.163,38.733,2.0,pareto_table_profiles_5seed/runtime.csv (JOBS=1 exclusive)
