case,AT_mean_s,FM_alpha_0p1_total_s,FM_alpha_0p1_sampling_s,FM_alpha_0p1_stage_a_s,FM_alpha_0p1_stage_b_s
Case6,1005.813,43.38,36.811,1.254,5.315
Case7,675.994,40.585,35.495,3.006,2.084
Case8,2052.811,46.247,40.273,2.794,3.18
Case9,2247.723,46.898,40.299,4.89,1.709
Case10,4711.384,62.223,41.66,10.144,10.419
acend910,274.006,43.899,36.722,0.834,6.343
cpu-dram,297.321,45.903,38.072,0.698,7.133
hp11_m,382.827,44.367,35.351,0.56,8.456
multigpu,273.939,38.298,33.99,0.979,3.329
syn1,354.209,45.919,36.53,0.858,8.531
syn4,374.691,40.655,32.278,0.468,7.909
xerox8_m,362.217,45.405,37.301,0.27,7.834
