case,TW-FM_CPU+GPU_s,TW-FM_CPU_s,ATPlace2.5D_s,MILP_s,RLPlanner_s,speedup_CPU+GPU_x,speedup_CPU_x
ascend910,41.65,145.23,274.01,26.03,3600.00,6.58,1.89
hp6_m,52.42,167.84,360.28,3.59,3600.00,6.87,2.15
multigpu,44.51,138.62,273.94,7.00,3600.00,6.15,1.98
xerox6_m,50.82,178.20,333.68,178.74,3600.00,6.57,1.87
xerox7_m,51.65,136.48,346.15,324.12,3600.00,6.70,2.54
cpu-dram,46.11,142.60,297.32,27.82,3600.00,6.45,2.09
syn1,42.76,157.68,354.21,1210.75,3600.00,8.28,2.25
hp11_m,35.97,152.47,382.83,1221.92,3600.00,10.64,2.51
syn4,46.30,150.20,374.69,3305.10,3600.00,8.09,2.49
Case7,41.88,140.69,675.99,3327.36,3600.00,16.14,4.80
MEAN,45.41,151.00,367.31,963.24,3600.00,8.25,2.46
