==============================================================================
芯粒线长计算耗时对比  (system_340001 ~ system_340100, 共 100 个 case)
==============================================================================

[总耗时 / 汇总]

  CPLEX (精确 ILP 求解):   总 277.742s   单case均值 2.777s   min 0.007s   max 12.305s
  曼哈顿 (chiplet 中心点):  总 4.62ms   单case均值 46.2us

  wlmodel 批量口径 (100 case 总耗时, warmup 后取最优):
    batch=8  : 51.34ms  (0.513ms/case)
    batch=16 : 27.71ms  (0.277ms/case)
    batch=32 : 16.39ms  (0.164ms/case)
    batch=64 : 8.43ms   (0.084ms/case)
    batch=128: 4.74ms   (0.047ms/case)

------------------------------------------------------------------------------
[每个 case 时间]  (单位: 秒)
------------------------------------------------------------------------------
system_id          cplex_time_s   manhattan_time_s   wlmodel_time_s
system_340001          0.374915       2.998702e-05         0.006742
system_340002          0.007304       1.031000e-05         0.003413
system_340003          0.020209       1.484802e-05         0.003409
system_340004          0.529346       2.666100e-05         0.003196
system_340005          3.348317       4.385400e-05         0.014175
system_340006          3.278569       3.709100e-05         0.005446
system_340007          3.631126       4.182901e-05         0.008559
system_340008          8.618215       4.105800e-05         0.008821
system_340009          4.879242       2.808400e-05         0.008801
system_340010          5.056275       3.369400e-05         0.007209
system_340011          7.898703       3.926401e-05         0.008338
system_340012          1.982170       2.862499e-05         0.013008
system_340013          0.007198       1.156199e-05         0.005722
system_340014          0.051460       2.478700e-05         0.003726
system_340015          0.124251       2.722201e-05         0.021633
system_340016          4.254446       1.197190e-04         0.013987
system_340017          0.017053       1.452700e-05         0.003781
system_340018          0.042843       1.056410e-04         0.007886
system_340019          0.451734       3.288299e-05         0.005769
system_340020          4.293674       1.092980e-04         0.004465
system_340021          4.127021       3.561800e-05         0.013830
system_340022          0.040582       1.757301e-05         0.006491
system_340023          0.148862       2.126000e-05         0.003934
system_340024          3.080815       3.289201e-05         0.003982
system_340025          2.117772       2.771299e-05         0.004046
system_340026          6.818687       3.666000e-05         0.004660
system_340027          0.138896       5.754901e-05         0.007846
system_340028          1.246680       1.915540e-04         0.004724
system_340029          1.644756       3.311300e-05         0.009328
system_340030          0.360503       3.550801e-05         0.009978
system_340031          0.033640       1.612000e-05         0.003423
system_340032          9.701307       3.642001e-05         0.003903
system_340033          0.516326       2.449699e-05         0.012054
system_340034          0.298039       2.068898e-05         0.006576
system_340035          8.057047       4.234002e-05         0.005359
system_340036          0.674173       1.461680e-04         0.004969
system_340037          9.407730       3.486598e-05         0.005407
system_340038          2.174126       2.649002e-05         0.013005
system_340039          0.460272       9.547101e-05         0.010608
system_340040          1.001996       3.243200e-05         0.004256
system_340041          4.525980       3.130999e-05         0.003508
system_340042          0.209296       2.165200e-05         0.013259
system_340043          1.731213       4.751000e-05         0.004833
system_340044          9.418228       4.169898e-05         0.006231
system_340045          0.023813       1.466798e-05         0.006379
system_340046         10.085093       3.813198e-05         0.004584
system_340047          0.901209       2.292302e-05         0.003956
system_340048          5.127631       4.515602e-05         0.003864
system_340049          1.076214       3.951503e-05         0.009144
system_340050          5.365212       4.008602e-05         0.003935
system_340051          7.050188       9.761599e-05         0.003838
system_340052          6.187106       5.322098e-05         0.013165
system_340053          9.115551       3.952498e-05         0.005545
system_340054          0.022259       1.712202e-05         0.004776
system_340055          0.178866       2.101000e-05         0.004722
system_340056          0.305278       2.199298e-05         0.005535
system_340057          1.023250       4.286200e-05         0.006694
system_340058          2.403517       4.768002e-05         0.003830
system_340059          0.377227       2.437699e-05         0.004186
system_340060          0.016761       1.592998e-05         0.003747
system_340061          4.012684       3.167099e-05         0.004415
system_340062          0.374895       2.094000e-05         0.004571
system_340063          0.006978       8.926989e-06         0.004029
system_340064          0.015006       4.583699e-05         0.004410
system_340065          6.449423       9.886801e-05         0.004244
system_340066          0.153111       1.895602e-05         0.004057
system_340067          0.063908       1.464100e-04         0.004154
system_340068          2.540119       3.593799e-05         0.004266
system_340069          6.851714       3.415500e-05         0.005127
system_340070          1.680411       2.552901e-05         0.010092
system_340071          0.104703       1.823500e-05         0.004263
system_340072          2.694903       3.341300e-05         0.004086
system_340073          0.272874       2.075898e-05         0.006363
system_340074          0.414118       9.386902e-05         0.006041
system_340075          3.531814       3.208101e-05         0.004452
system_340076          7.555621       3.568799e-05         0.004204
system_340077          4.740498       3.763102e-05         0.003561
system_340078          6.207809       2.773570e-04         0.003949
system_340079          7.558627       4.436402e-05         0.003730
system_340080          0.038988       1.442802e-05         0.003575
system_340081          3.788303       3.736099e-05         0.006198
system_340082          5.467808       3.580801e-05         0.005480
system_340083          9.094143       5.997400e-05         0.005823
system_340084          0.602716       4.107799e-05         0.005357
system_340085          0.354059       2.309401e-05         0.005727
system_340086          1.140885       3.095900e-05         0.004204
system_340087          0.880267       1.012640e-04         0.005552
system_340088          0.029220       1.933699e-05         0.005101
system_340089          3.093547       1.534820e-04         0.004196
system_340090          4.403287       2.925599e-05         0.004383
system_340091          0.307824       2.296400e-05         0.004451
system_340092          0.111991       1.879601e-05         0.004274
system_340093         12.304831       1.918150e-04         0.005200
system_340094          1.140059       2.525802e-05         0.004257
system_340095          5.591946       3.271300e-05         0.004002
system_340096          0.433513       2.555901e-05         0.007950
system_340097          0.085426       8.380902e-05         0.003740
system_340098          1.131218       2.596900e-05         0.003683
system_340099          6.401733       5.535598e-05         0.003920
system_340100          0.051345       1.719201e-05         0.003842
